domain,dataset,unit_id,unit_label,shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Natural images,CIFAR-10,cifar10_test_05318,class1_test5318,32x32x3,"(20,20,3)",0,0.008738553151488304,0.00857681967318058,1.8508038516671197,0.5384219417301532,0.5338785550469421,0.8438338654274494,0.006298035744320156,boundary,2489,2494,0.002735600108280778,0.08416910003870726,ok,link_refresh_rmse=0.0087322192; p_max=4
Natural images,CIFAR-10,cifar10_test_05336,class3_test5336,32x32x3,"(20,20,3)",0,0.013326133601367474,0.012754347175359726,4.290715094955023,0.9667120144312883,0.9454172946850365,2.2027987061668326,0.017560911961817742,moderate,2489,2494,0.0027887998148798943,0.09085060004144907,ok,link_refresh_rmse=0.013299218; p_max=4
Natural images,CIFAR-10,cifar10_test_05342,class8_test5342,32x32x3,"(20,20,3)",0,0.005359433591365814,0.0052682263776659966,1.7018069567417504,0.5919726694693659,0.5854649549582917,1.0993268518473394,0.004363173276147999,boundary,2489,2494,0.003368800040334463,0.09472050005570054,ok,link_refresh_rmse=0.0053567421; p_max=4
Natural images,CIFAR-10,cifar10_test_05361,class3_test5361,32x32x3,"(20,20,3)",0,0.005284272599965334,0.004967126529663801,6.001697760702453,1.3598455800150262,1.249863575023562,8.087830457208888,0.011383112593578359,moderate,2489,2494,0.0025991001166403294,0.09840259980410337,ok,link_refresh_rmse=0.0052773519; p_max=4
Natural images,CIFAR-10,cifar10_test_05378,class1_test5378,32x32x3,"(20,20,3)",0,0.011440955102443695,0.01073142234236002,6.201691674606126,1.1290748290766195,1.0896843111126033,3.4887429025612526,0.025089929084856268,moderate,2489,2494,0.0029847000259906054,0.09902610001154244,ok,link_refresh_rmse=0.011407955; p_max=4
Natural images,CIFAR-10,cifar10_test_05389,class4_test5389,32x32x3,"(20,20,3)",0,0.0054626744240522385,0.005364211741834879,1.8024629434957145,0.8538650440891482,0.8463733924087349,0.8773812363293274,0.0075207562902724874,boundary,2489,2494,0.005681599956005812,0.10645950003527105,ok,link_refresh_rmse=0.0054579466; p_max=4
Natural images,CIFAR-10,cifar10_test_05397,class9_test5397,32x32x3,"(20,20,3)",0,0.004246310796588659,0.004272287245839834,-0.6117415915962514,0.41653484473604163,0.4151897234715878,0.322931270085281,-6.096086396635995e-05,boundary,2489,2494,0.0034918999299407005,0.09987920010462403,ok,link_refresh_rmse=0.0042463406; p_max=4
Natural images,CIFAR-10,cifar10_test_05423,class6_test5423,32x32x3,"(20,20,3)",0,0.025342300534248352,0.024724245071411133,2.438829347801161,1.9744649262114828,1.9832375793168309,-0.4443053400893077,0.02731313952191823,moderate,2489,2494,0.005330000072717667,0.11402329988777637,ok,link_refresh_rmse=0.025262736; p_max=4
Natural images,CIFAR-10,cifar10_test_05424,class3_test5424,32x32x3,"(20,20,3)",0,0.008407063782215118,0.008272888138890266,1.595986979529005,0.5756997296134913,0.5667828562113151,1.5488757321742557,0.011864457278307764,moderate,2489,2494,0.006106599932536483,0.09191209985874593,ok,link_refresh_rmse=0.008395588; p_max=4
Natural images,CIFAR-10,cifar10_test_05443,class6_test5443,32x32x3,"(20,20,3)",0,0.008424588479101658,0.008375624194741249,0.5812068385520714,0.6337788786018109,0.6462231911288886,-1.963510136931552,0.009023928430758528,boundary,2489,2494,0.010242599993944168,0.10766740003600717,ok,link_refresh_rmse=0.0084158406; p_max=4
Natural images,CIFAR-10,cifar10_test_05446,class6_test5446,32x32x3,"(20,20,3)",0,0.008530869148671627,0.00466533238068223,45.312343919743675,0.5124101835396251,0.3602589248379012,29.6932542695959,0.4405569628701599,effective,2489,2494,0.005266099935397506,0.09159679990261793,ok,link_refresh_rmse=0.0081089651; p_max=4
