index,panel,method,x,mean,std,band_lower,band_upper
45,linear,TT,0.25,0.23580488711595535,0.05534092812796503,0.1804639589879903,0.29114581524392036
46,linear,TT,0.3,0.23580488711595535,0.05534092812796503,0.1804639589879903,0.29114581524392036
47,linear,TT,0.35,0.23580488711595535,0.05534092812796503,0.1804639589879903,0.29114581524392036
48,linear,TT,0.4,0.23580488711595535,0.05534092812796503,0.1804639589879903,0.29114581524392036
49,linear,Tucker,0.1,0.0290493318811059,0.0008582148562296674,0.028191117024876235,0.029907546737335568
50,linear,Tucker,0.15,0.0290493318811059,0.0008582148562296674,0.028191117024876235,0.029907546737335568
51,linear,Tucker,0.2,0.0290493318811059,0.0008582148562296674,0.028191117024876235,0.029907546737335568
52,linear,Tucker,0.25,0.0290493318811059,0.0008582148562296674,0.028191117024876235,0.029907546737335568
53,linear,Tucker,0.3,0.0290493318811059,0.0008582148562296674,0.028191117024876235,0.029907546737335568
54,linear,Tucker,0.35,0.0290493318811059,0.0008582148562296674,0.028191117024876235,0.029907546737335568
55,linear,Tucker,0.4,0.0290493318811059,0.0008582148562296674,0.028191117024876235,0.029907546737335568
56,poly3,CP,0.1,0.12273099273443222,0.028869270471188698,0.09386172226324352,0.15160026320562092
57,poly3,CP,0.15,0.13329750522971154,0.03594248509018449,0.09735502013952704,0.16923999031989603
58,poly3,CP,0.2,0.1357380546629429,0.03500752521910794,0.10073052944383495,0.17074557988205083
59,poly3,CP,0.25,0.13841203972697258,0.05107253702966703,0.08733950269730556,0.1894845767566396
60,poly3,CP,0.3,0.13709462136030198,0.05415723203608252,0.08293738932421946,0.1912518533963845
61,poly3,CP,0.35,0.13331749439239501,0.048927711460447054,0.08438978293194796,0.18224520585284207
62,poly3,CP,0.4,0.1312627077102661,0.05430281003222105,0.07695989767804505,0.18556551774248714
63,poly3,NTD-PL,0.1,0.04261215813457966,0.00552854697852016,0.037083611156059494,0.04814070511309982
64,poly3,NTD-PL,0.15,0.05195029638707638,0.011380485044007727,0.040569811343068654,0.0633307814310841
65,poly3,NTD-PL,0.2,0.05799477584660053,0.011790494806120332,0.0462042810404802,0.06978527065272086
66,poly3,NTD-PL,0.25,0.06397641897201538,0.012585143828988631,0.05139127514302674,0.07656156280100401
67,poly3,NTD-PL,0.3,0.07226491644978524,0.022611555463108675,0.04965336098667656,0.09487647191289392
68,poly3,NTD-PL,0.35,0.07562320455908775,0.02504838146478235,0.0505748230943054,0.1006715860238701
69,poly3,NTD-PL,0.4,0.0769033595919609,0.024741330056881384,0.05216202953507952,0.10164468964884228
70,poly3,TT,0.1,0.24162057638168336,0.05518530509453884,0.18643527128714452,0.2968058814762222
71,poly3,TT,0.15,0.24398715794086456,0.058733645149954244,0.18525351279091032,0.30272080309081884
72,poly3,TT,0.2,0.24128087759017944,0.06253231341732486,0.17874856417285456,0.3038131910075043
73,poly3,TT,0.25,0.2375548079609871,0.06673439206438973,0.17082041589659736,0.30428920002537685
74,poly3,TT,0.3,0.23320596814155578,0.0718037330274286,0.16140223511412718,0.3050097011689844
75,poly3,TT,0.35,0.2271181896328926,0.07681865647386571,0.1502995331590269,0.3039368461067583
76,poly3,TT,0.4,0.22135698795318604,0.08253007380577966,0.1388269141474064,0.3038870617589657
77,poly3,Tucker,0.1,0.13346101045608522,0.023978479312518033,0.10948253114356718,0.15743948976860325
78,poly3,Tucker,0.15,0.14852938801050186,0.0324198560615674,0.11610953194893446,0.18094924407206925
79,poly3,Tucker,0.2,0.1567476809024811,0.0398672983162222,0.1168803825862589,0.1966149792187033
80,poly3,Tucker,0.25,0.16129836291074753,0.04627770170009984,0.11502066121064769,0.20757606461084738
81,poly3,Tucker,0.3,0.16337733268737792,0.05164237898185753,0.11173495370552039,0.21501971166923545
82,poly3,Tucker,0.35,0.1623035825788975,0.05540147495518772,0.10690210762370977,0.2177050575340852
83,poly3,Tucker,0.4,0.16032386422157288,0.05885523135575111,0.10146863286582178,0.21917909557732398
84,tanh,CP,0.1,0.15193810686469078,0.01460156391841316,0.13733654294627762,0.16653967078310394
