dataset,protocol,rank,target_shape,missing_rate,method,n_pairs,RMSE_missing_gain_mean_pct,RMSE_missing_gain_median_pct,RMSE_missing_wins,RMSE_missing_losses,RMSE_missing_min_gain_pct,RMSE_missing_max_gain_pct,SAM_missing_gain_mean_pct,SAM_missing_gain_median_pct,SAM_missing_wins,SAM_missing_losses,SAM_missing_min_gain_pct,SAM_missing_max_gain_pct,PSNR_missing_delta_mean,PSNR_missing_delta_median,PSNR_missing_wins,SSIM_missing_delta_mean,SSIM_missing_delta_median,SSIM_missing_wins
cave_hsi,block,"(24,24,4)","(128,128)",0.7,ntdpl,45,4.377187271304931,3.908520626105483,44,1,-0.5854677592448415,16.381526526526596,12.057569433956912,9.886887724749254,44,1,-0.5492630669390492,29.609857001107965,0.39557336684354133,0.34630215853724167,44,0.06304957210627042,0.05760801360543852,40
cave_hsi,random,"(12,12,3)","(128,128)",0.3,ntdpl,45,9.561816332804899,8.988704012704702,45,0,1.6895559069578465,23.606098679622566,12.103353546576855,10.762832857502811,41,4,-4.5005156222036105,30.242759908095984,0.8846243792414984,0.8180940542891229,45,0.007897619163790788,0.004644248330907708,45
cave_hsi,random,"(12,12,3)","(128,128)",0.5,ntdpl,45,9.462900646283469,9.024291658672324,45,0,1.6585391883015412,23.43106937543,10.717597466078738,9.325519587893915,36,9,-5.1857576788273265,25.930275866799867,0.8754845995947416,0.8214917486286524,45,0.0078057924373967046,0.0048366771783378,45
cave_hsi,random,"(12,12,3)","(128,128)",0.7,ntdpl,45,9.397353263777356,8.6336995044306,45,0,1.4296215867396278,23.603345023669004,10.514734485294147,9.626975718374219,37,8,-5.757190014308075,25.39799677879349,0.869372204146624,0.784278960235266,45,0.007997883898756481,0.004743225557322872,45
cave_hsi,random,"(16,16,3)","(128,128)",0.3,ntdpl,45,9.705101459763918,8.63356101218462,45,0,2.4647976527192994,24.680559012086412,12.192464124069089,11.106952270038844,42,3,-2.7979188985638266,29.898556955551985,0.8997983315752718,0.7842656920135624,45,0.006898975667761364,0.0034227613477944008,45
cave_hsi,random,"(16,16,3)","(128,128)",0.5,ntdpl,45,9.68706499806258,8.755018241630736,45,0,2.3670830286820004,24.836641005174418,11.157301929338571,9.404818319344772,42,3,-3.221562335554775,26.16612685963591,0.8982556013851004,0.7958202035600657,45,0.006839754903564018,0.003358704632619225,45
cave_hsi,random,"(16,16,3)","(128,128)",0.7,ntdpl,45,9.531003151699784,8.647425458187344,45,0,1.983403310963613,24.987350535419193,10.993512904337942,8.780468258999758,43,2,-3.3703745206361413,24.59499611448574,0.8836485362776645,0.785584578612184,45,0.006794995935572426,0.003541028565850479,45
cave_hsi,random,"(20,20,4)","(128,128)",0.3,ntdpl,45,10.994671844912205,10.512363579558686,45,0,3.702351422267469,22.581464798539447,14.403253204666175,16.739345912121095,42,3,-8.487514990412972,32.70538396474566,1.0231945533330677,0.9647387623247603,45,0.005918843059966296,0.0026321021167681202,45
cave_hsi,random,"(20,20,4)","(128,128)",0.5,ntdpl,45,10.92224541823444,10.220361300804177,45,0,3.537333232113719,22.500158836012176,12.14610273633141,13.777360204471478,40,5,-9.359215310166705,29.650644980085556,1.0156533135657972,0.9364427388186272,45,0.0058970159300397755,0.0027760218239178958,45
cave_hsi,random,"(20,20,4)","(128,128)",0.7,ntdpl,45,9.939223549996296,9.509042917697114,44,1,-13.624028043873333,22.60821053728473,11.625881203250128,13.21138628939682,39,6,-8.940233162073522,28.550084542766356,0.9265915710261903,0.8678961698699617,44,0.0056897775907503185,0.002723894781311409,44
