scene_id,scene_name,target_shape,rank,snr,snr_value,method,params,fit_time_sec,RMSE,SAM,NMSE_dB
2,beads,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,30.490162600006443,0.11145070940256119,28.902582331447036,-5.629171453530123
2,beads,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,162.79565389998606,0.10543379932641983,26.928896712107907,-6.111231074496763
3,cd,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,24.48282490001293,0.03249865025281906,12.216941277800943,-12.410794313344578
3,cd,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,149.1734262999962,0.02912418358027935,11.740786578605704,-13.363025673209597
3,cd,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,21.64326589999837,0.03249869495630264,12.216889167136381,-12.410782757354962
3,cd,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,147.12068709998857,0.02912396565079689,11.740558919602297,-13.363090950663704
3,cd,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,21.54569050000282,0.032499104738235474,12.21754356724553,-12.410672836064222
3,cd,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,145.9288932000054,0.029125239700078964,11.741140859041472,-13.362710530271642
3,cd,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,21.437315199989825,0.032503314316272736,12.236675771945412,-12.409547571190735
3,cd,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,157.13175109997974,0.029133876785635948,11.755396783700213,-13.360135497339314
3,cd,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,24.77612140000565,0.03254400193691254,12.318790111546353,-12.398681924087319
3,cd,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,166.09608670001035,0.029177187010645866,11.813855845142562,-13.34723248142939
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,24.65065909997793,0.045614611357450485,19.19517777430743,-16.212824260827553
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,145.21020460000727,0.04229322075843811,16.533290364717487,-16.869488355441693
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,21.032114000001457,0.045614853501319885,19.195250178751333,-16.21277758697866
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,134.7499867999868,0.04229338839650154,16.53306191271755,-16.869453734074536
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,23.284796100022504,0.0456162728369236,19.196403489722396,-16.212507700210548
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,131.47460019998834,0.04229399561882019,16.53128779650639,-16.869329414167396
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,27.728055400017183,0.0456303209066391,19.25380528320543,-16.209833413480364
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,139.994016200013,0.04230671748518944,16.542481055947896,-16.86671715879871
4,chart_and_stuffed_toy,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,32.612372100003995,0.04577258974313736,19.56508258049982,-16.18279410600351
