unit_id,dataset,config,lr_core,lr_factors,beta_update_interval,beta_update_stage,tucker_rmse,frozen_link_rmse,ntdpl_rmse,gain_vs_tucker_pct,frozen_gain_pct,beta
brdf_specular-orange-phenolic,BRDF,lr_scale_1_beta1_before,7e-05,0.0002,1,before_grad,0.0029764710925519466,0.0029764671344310045,0.002983538433909416,-0.23744028205596343,0.00013298032532619683,"[-2.029821371252183e-05, 1.779994249343872, -0.896129310131073, 1.3102957010269165, -0.6890024542808533]"
brdf_specular-orange-phenolic,BRDF,lr_scale_1_beta10_before,7e-05,0.0002,10,before_grad,0.0029764710925519466,0.0029764671344310045,0.0029990028124302626,-0.7569944131054145,0.00013298032532619683,"[-7.66876109992154e-05, 1.0222513675689697, 0.06704153120517731, -0.26575860381126404, 0.1934451013803482]"
brdf_specular-orange-phenolic,BRDF,lr_scale_1_beta20_before,7e-05,0.0002,20,before_grad,0.0029764710925519466,0.0029764671344310045,0.003000101540237665,-0.7939081869415511,0.00013298032532619683,"[-7.465323142241687e-05, 1.002003788948059, 0.09265805035829544, -0.24746999144554138, 0.16298331320285797]"
brdf_specular-orange-phenolic,BRDF,lr_scale_1_beta5_after,7e-05,0.0002,5,after_grad,0.0029764710925519466,0.0029764671344310045,0.002997302683070302,-0.6998754521917739,0.00013298032532619683,"[-7.975078915478662e-05, 1.044325351715088, 0.044103968888521194, -0.27760985493659973, 0.2142365723848343]"
harvard_imgg8,Harvard HS,lr_scale_1_beta5_before,7e-05,0.0002,5,before_grad,0.002318482380360365,0.0023184793535619974,0.002655416028574109,-14.532508466222378,0.0001305508462406277,"[0.001146873808465898, 1.0755966901779175, 0.09280052036046982, -0.34281405806541443, 0.32509854435920715]"
harvard_imgg8,Harvard HS,lr_scale_0.3_beta5_before,2.1e-05,6e-05,5,before_grad,0.002318482380360365,0.0023184793535619974,0.0023897585924714804,-3.0742615391382397,0.0001305508462406277,"[0.0004404395876917988, 1.0650140047073364, -0.056611064821481705, 0.05968340486288071, -0.012003378942608833]"
harvard_imgg8,Harvard HS,lr_scale_0.1_beta5_before,7e-06,2e-05,5,before_grad,0.002318482380360365,0.0023184793535619974,0.002330926014110446,-0.536714613640796,0.0001305508462406277,"[0.00016970634169410914, 1.0417100191116333, -0.0663217082619667, 0.10223870724439621, -0.05664407089352608]"
harvard_imgg8,Harvard HS,lr_scale_0.03_beta5_before,2.1e-06,6e-06,5,before_grad,0.002318482380360365,0.0023184793535619974,0.0023200036957859993,-0.06561686379509703,0.0001305508462406277,"[5.713816426577978e-05, 1.0214452743530273, -0.04256509989500046, 0.06767427921295166, -0.03814596310257912]"
harvard_imgg8,Harvard HS,lr_scale_0_beta5_before,0.0,0.0,5,before_grad,0.002318482380360365,0.0023184793535619974,0.002318472368642688,0.00043182202987284546,0.0001305508462406277,"[9.055293048731983e-06, 0.9995042681694031, 0.003559528850018978, -0.00817076489329338, 0.005956775043159723]"
harvard_imgg8,Harvard HS,lr_scale_1_beta1_before,7e-05,0.0002,1,before_grad,0.002318482380360365,0.0023184793535619974,0.0024759445805102587,-6.791606504485024,0.0001305508462406277,"[0.001381568261422217, 1.9114279747009277, -2.501368761062622, 5.753161907196045, -4.747564315795898]"
harvard_imgg8,Harvard HS,lr_scale_1_beta10_before,7e-05,0.0002,10,before_grad,0.002318482380360365,0.0023184793535619974,0.0027239376213401556,-17.487958692908858,0.0001305508462406277,"[0.0010947795817628503, 0.9898901581764221, 0.19341306388378143, -0.4745754599571228, 0.3718611001968384]"
harvard_imgg8,Harvard HS,lr_scale_1_beta20_before,7e-05,0.0002,20,before_grad,0.002318482380360365,0.0023184793535619974,0.002725275233387947,-17.545652124574428,0.0001305508462406277,"[0.0010066649410873652, 0.9902128577232361, 0.1475263237953186, -0.37167006731033325, 0.2945327162742615]"
harvard_imgg8,Harvard HS,lr_scale_1_beta5_after,7e-05,0.0002,5,after_grad,0.002318482380360365,0.0023184793535619974,0.0026548064779490232,-14.506217534264074,0.0001305508462406277,"[0.001154055935330689, 1.0793373584747314, 0.08256395161151886, -0.32841917872428894, 0.31790000200271606]"
harvard_imgh7,Harvard HS,lr_scale_1_beta5_before,7e-05,0.0002,5,before_grad,0.003914488945156336,0.0039144353941082954,0.004289712756872177,-9.585512105740682,0.0013680214401078428,"[-0.0003081931790802628, 0.9121323227882385, 0.8839933276176453, -1.4338260889053345, 0.8923518657684326]"
harvard_imgh7,Harvard HS,lr_scale_0.3_beta5_before,2.1e-05,6e-05,5,before_grad,0.003914488945156336,0.0039144353941082954,0.003984895534813404,-1.7986151102607437,0.0013680214401078428,"[-4.9057813157560304e-05, 0.9687864780426025, 0.4149683713912964, -0.7362546920776367, 0.43649476766586304]"
harvard_imgh7,Harvard HS,lr_scale_0.1_beta5_before,7e-06,2e-05,5,before_grad,0.003914488945156336,0.0039144353941082954,0.003927160520106554,-0.32370956024534453,0.0013680214401078428,"[8.370478462893516e-05, 0.9907814860343933, 0.18302848935127258, -0.35738739371299744, 0.21892978250980377]"
