scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,polycal_fit_time_sec,fit_time_sec,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all
6,cloth,0,0.1,tucker_polycal_p3,3,1e-06,0.6140031999966595,208.86449300000095,0.054268740117549896,0.05450998619198799,8.510134705096325,6.325210656426935,-12.471699002751182
6,cloth,0,0.1,tucker_polycal_p4,4,1e-06,0.705795499990927,208.95628529999522,0.05405542626976967,0.054292455315589905,8.4113906905561,5.6685077327930875,-12.505907683993415
7,egyptian_statue,0,0.1,tucker_polycal_p2,2,1e-06,0.5478999000042677,220.83294150000438,0.008165979757905006,0.0082895178347826,16.937500995589765,13.429025301004312,-21.787349760565327
7,egyptian_statue,0,0.1,tucker_polycal_p3,3,1e-06,0.5776473000005353,220.86268890000065,0.008163640275597572,0.008288329467177391,16.808266873503964,13.115686289998601,-21.789838797321558
7,egyptian_statue,0,0.1,tucker_polycal_p4,4,1e-06,0.7602145999844652,221.04525619998458,0.008158729411661625,0.008282504975795746,16.661899041078115,12.7502336342021,-21.795065133043664
8,face,0,0.1,tucker_polycal_p2,2,1e-06,0.35842599999159575,215.54872060008347,0.009962317533791065,0.010081534273922443,9.498377067764867,6.5618757291889604,-23.66384817139851
8,face,0,0.1,tucker_polycal_p3,3,1e-06,0.3930172999971546,215.58331190008903,0.00994474720209837,0.010063654743134975,9.322530631167425,6.221100209113821,-23.679180566999698
8,face,0,0.1,tucker_polycal_p4,4,1e-06,0.8039011000073515,215.99419570009923,0.009934164583683014,0.010052601806819439,9.200057691458749,5.957391326580127,-23.688429033143844
9,fake_and_real_beers,0,0.1,tucker_polycal_p2,2,1e-06,0.3279090999858454,207.47682499990333,0.011512215249240398,0.011580518446862698,2.06909524335278,1.365809866240911,-29.411374282292705
9,fake_and_real_beers,0,0.1,tucker_polycal_p3,3,1e-06,0.7010052000114229,207.8499210999289,0.01150978822261095,0.01157793216407299,2.0663603918157607,1.3588642290089143,-29.413206015478956
9,fake_and_real_beers,0,0.1,tucker_polycal_p4,4,1e-06,1.0778891000081785,208.22680499992566,0.011509736999869347,0.011577866040170193,2.066640237147062,1.359401985138165,-29.413244442456794
10,fake_and_real_food,0,0.1,tucker_polycal_p2,2,1e-06,0.5603415000077803,200.64853910010424,0.01944674737751484,0.01948133297264576,12.980479970648151,11.539776920640548,-17.232580789989832
10,fake_and_real_food,0,0.1,tucker_polycal_p3,3,1e-06,0.5935124999959953,200.68171010009246,0.0193400327116251,0.01937314309179783,12.668284828638594,10.5879431529089,-17.280375912464777
10,fake_and_real_food,0,0.1,tucker_polycal_p4,4,1e-06,0.8078037000086624,200.89600130010513,0.019164880737662315,0.019198643043637276,12.409657796645378,9.437810312115378,-17.359397548924054
11,fake_and_real_lemon_slices,0,0.1,tucker_polycal_p2,2,1e-06,0.6066184999945108,210.8608270000259,0.018493760377168655,0.018618635833263397,10.993285102764297,7.598935412381794,-16.216898317227542
11,fake_and_real_lemon_slices,0,0.1,tucker_polycal_p3,3,1e-06,0.619382000004407,210.8735905000358,0.01848589815199375,0.018607808277010918,11.007950856536384,7.494656491545694,-16.22059161726639
11,fake_and_real_lemon_slices,0,0.1,tucker_polycal_p4,4,1e-06,0.5879578999883961,210.84216640001978,0.018390320241451263,0.018515391275286674,11.112790169653,7.139415413416154,-16.265617368407952
12,fake_and_real_lemons,0,0.1,tucker_polycal_p2,2,1e-06,0.4592765999841504,219.14824930013856,0.007890981622040272,0.00800645537674427,5.6757456878096235,4.535205283657546,-25.679619977994644
12,fake_and_real_lemons,0,0.1,tucker_polycal_p3,3,1e-06,0.36903269999311306,219.05800540014752,0.007885180413722992,0.007999696768820286,5.672662033138751,4.461010882519571,-25.68600835046366
12,fake_and_real_lemons,0,0.1,tucker_polycal_p4,4,1e-06,0.7935934999841265,219.48256620013854,0.007876471616327763,0.007989738136529922,5.676420449126052,4.379475743419509,-25.695606311620892
13,fake_and_real_peppers,0,0.1,tucker_polycal_p2,2,1e-06,0.5461413000011817,220.35145270021167,0.013451592065393925,0.01356627605855465,12.635301591654866,10.416463158208071,-21.22066911470974
13,fake_and_real_peppers,0,0.1,tucker_polycal_p3,3,1e-06,0.6564849999849685,220.46179640019545,0.013422646559774876,0.013536014594137669,12.507198212499894,9.870785085200579,-21.239379784438523
13,fake_and_real_peppers,0,0.1,tucker_polycal_p4,4,1e-06,0.7155104000121355,220.52082180022262,0.013420114293694496,0.013534359633922577,12.465530128776681,9.690891118838126,-21.241018993237777
14,fake_and_real_strawberries,0,0.1,tucker_polycal_p2,2,1e-06,0.35246129997540265,222.75355809985194,0.01140528917312622,0.011503897607326508,8.634713056541003,6.815302655752019,-21.95477534313352
14,fake_and_real_strawberries,0,0.1,tucker_polycal_p3,3,1e-06,0.395453200006159,222.7965499998827,0.011390181258320808,0.011485970579087734,8.599099569047844,6.595786949229009,-21.966288424025745
14,fake_and_real_strawberries,0,0.1,tucker_polycal_p4,4,1e-06,0.4860734000103548,222.8871701998869,0.011377707123756409,0.011477363295853138,8.580085392415915,6.447481025819197,-21.97580636766034
15,fake_and_real_sushi,0,0.1,tucker_polycal_p2,2,1e-06,0.31157839999650605,210.3604596001387,0.011112900450825691,0.011455196887254715,7.718199303331819,5.682949719226063,-18.127555896976663
15,fake_and_real_sushi,0,0.1,tucker_polycal_p3,3,1e-06,0.35168680001515895,210.40056800015736,0.011064649559557438,0.01139750611037016,7.727656122415077,5.316576765760151,-18.16535122186624
15,fake_and_real_sushi,0,0.1,tucker_polycal_p4,4,1e-06,0.45087480000802316,210.49975600015023,0.0110640749335289,0.011396653018891811,7.733290040601163,5.278715355324272,-18.16580245572595
1,balloons,0,0.3,tucker_polycal_p2,2,1e-06,0.4656715999881271,198.72443650002242,0.014166083186864853,0.014250004664063454,9.112665610319045,8.160581433320678,-23.519076674008822
