scene_id,scene_name,bin_id,bin_label,group_type,pixel_count,Tucker_RMSE,PolyCal_RMSE,NTDPL_RMSE,Tucker_SAM,PolyCal_SAM,NTDPL_SAM,gain_polycal_rmse,gain_ntdpl_rmse,extra_gain_rmse,gain_polycal_sam,gain_ntdpl_sam,extra_gain_sam
4,chart_and_stuffed_toy,1,Q2,difficulty,65536,0.007007647305727005,0.00695303687825799,0.007445288822054863,17.638290405273438,16.75814437866211,17.40186882019043,5.4610562074230984e-05,-0.0004376419819891453,-0.0004922525840811431,0.8801434636116028,0.23642057180404663,-0.6437227129936218
4,chart_and_stuffed_toy,2,Q3,difficulty,65536,0.015487037599086761,0.015343142673373222,0.01557999663054943,14.00922679901123,12.928037643432617,11.137747764587402,0.00014389555144589394,-9.295984636992216e-05,-0.00023685541236773133,1.0811903476715088,2.8714804649353027,1.7902899980545044
4,chart_and_stuffed_toy,3,Q4,difficulty,65536,0.04420275241136551,0.04382774233818054,0.037674300372600555,10.52541446685791,10.256339073181152,8.310182571411133,0.00037501088809221983,0.006528451573103666,0.006153441034257412,0.2690746486186981,2.2152316570281982,1.9461568593978882
5,clay,0,Q1,difficulty,65536,0.004466329701244831,0.004521963186562061,0.004949542693793774,35.22348403930664,34.27760696411133,34.16636276245117,-5.5633310694247484e-05,-0.000483212701510638,-0.00042757944902405143,0.9458788633346558,1.057121992111206,0.11124303936958313
5,clay,1,Q2,difficulty,65536,0.006437860894948244,0.006352860480546951,0.0062510790303349495,31.197891235351562,30.649005889892578,29.893949508666992,8.500044350512326e-05,0.00018678224296309054,0.00010178178490605205,0.5488829612731934,1.3039429187774658,0.7550599575042725
5,clay,2,Q3,difficulty,65536,0.008774282410740852,0.008688965812325478,0.008881175890564919,31.086135864257812,30.681724548339844,30.269956588745117,8.531648200005293e-05,-0.0001068937053787522,-0.0001922101655509323,0.40440914034843445,0.816177487373352,0.4117683172225952
5,clay,3,Q4,difficulty,65536,0.017114002257585526,0.016951870173215866,0.01159452274441719,15.221114158630371,15.061079025268555,11.389389038085938,0.00016213112394325435,0.00551947858184576,0.0053573474287986755,0.160036101937294,3.831726312637329,3.6716902256011963
6,cloth,0,Q1,difficulty,65536,0.017385976389050484,0.01750972308218479,0.02206932008266449,6.961389541625977,6.867489814758301,8.034984588623047,-0.0001237476826645434,-0.004683343693614006,-0.0045595960691571236,0.09389977157115936,-1.0735952854156494,-1.1674951314926147
6,cloth,1,Q2,difficulty,65536,0.03140199929475784,0.0300777368247509,0.03162572532892227,7.532978057861328,6.941908359527588,7.25169563293457,0.0013242645654827356,-0.00022372214880306274,-0.001547986757941544,0.5910692811012268,0.2812821567058563,-0.3097870945930481
6,cloth,2,Q3,difficulty,65536,0.04741114377975464,0.04584691300988197,0.044789139181375504,9.380388259887695,8.775690078735352,8.635359764099121,0.0015642308862879872,0.0026220062281936407,0.0010577753419056535,0.6046978831291199,0.7450286149978638,0.1403307020664215
6,cloth,3,Q4,difficulty,65536,0.0866156816482544,0.08619262278079987,0.07768017053604126,11.340217590332031,11.224246978759766,10.445524215698242,0.0004230552585795522,0.008935501798987389,0.008512447588145733,0.11596988141536713,0.894692063331604,0.7787222266197205
7,egyptian_statue,0,Q1,difficulty,65536,0.0009679028298705816,0.0009881624719128013,0.0016798048745840788,15.809568405151367,15.233687400817871,28.14623260498047,-2.025959111051634e-05,-0.0007119019865058362,-0.0006916424026712775,0.575881838798523,-12.336663246154785,-12.912545204162598
7,egyptian_statue,1,Q2,difficulty,65536,0.001779030542820692,0.0017697098664939404,0.002425162587314844,18.476139068603516,17.62242317199707,25.281917572021484,9.320521712652408e-06,-0.0006461321609094739,-0.0006554527208209038,0.853717565536499,-6.805778503417969,-7.659495830535889
7,egyptian_statue,2,Q3,difficulty,65536,0.0038808102253824472,0.003865662729367614,0.004191946238279343,18.674856185913086,18.00812530517578,16.70372200012207,1.5147550584515557e-05,-0.0003111364203505218,-0.0003262839454691857,0.6667306423187256,1.971134066581726,1.30440354347229
7,egyptian_statue,3,Q4,difficulty,65536,0.01251334697008133,0.012483791448175907,0.012230578809976578,14.295971870422363,14.119157791137695,11.325010299682617,2.9556100344052538e-05,0.00028276900411583483,0.00025321292923763394,0.17681553959846497,2.9709625244140625,2.79414701461792
8,feathers,0,Q1,difficulty,65536,0.009575561620295048,0.00960896909236908,0.00848852377384901,25.009563446044922,23.562997817993164,19.412580490112305,-3.3407013688702136e-05,0.0010870376136153936,0.0011204446200281382,1.446564793586731,5.596981525421143,4.150416374206543
8,feathers,1,Q2,difficulty,65536,0.015340220183134079,0.014361636713147163,0.012548079714179039,18.407808303833008,16.12290382385254,13.520185470581055,0.0009785844013094902,0.0027921416331082582,0.001813557231798768,2.284904956817627,4.887623310089111,2.6027183532714844
8,feathers,2,Q3,difficulty,65536,0.02339133433997631,0.022157244384288788,0.015820305794477463,15.443292617797852,13.35440444946289,8.957763671875,0.00123408914078027,0.007571026682853699,0.006336938124150038,2.088888645172119,6.485530376434326,4.396641731262207
8,feathers,3,Q4,difficulty,65536,0.047311168164014816,0.04622591286897659,0.03382148593664169,14.086421966552734,12.819295883178711,8.975889205932617,0.0010852509876713157,0.013489680364727974,0.01240442879498005,1.2671260833740234,5.110531806945801,3.8434057235717773
9,flowers,0,Q1,difficulty,65536,0.005659094545990229,0.005785637069493532,0.005282352678477764,48.19297790527344,43.53172302246094,40.29521560668945,-0.00012654262536671013,0.0003767416637856513,0.0005032842746004462,4.661255836486816,7.897762298583984,3.236506462097168
9,flowers,1,Q2,difficulty,65536,0.009044405072927475,0.008889708667993546,0.008307559415698051,32.40468978881836,27.539594650268555,24.657299041748047,0.00015469605568796396,0.0007368451915681362,0.0005821491940878332,4.865093231201172,7.747389793395996,2.882296562194824
