missing_rate,scene_id,RMSE_missing_tucker,RMSE_missing_ntdpl,SAM_missing_tucker,SAM_missing_ntdpl,RMSE_gain,SAM_gain
0.3,10,0.021563824924082053,0.018406360720594723,9.215391255426699,7.264809163776623,0.00315746420348733,1.9505820916500758
0.3,4,0.02719621023170267,0.0244038924574852,14.559124065305818,12.639739535791682,0.0027923177742174704,1.9193845295141365
0.3,6,0.054894779125264304,0.05224344258507093,8.586803571925763,8.211526046229684,0.0026513365401933733,0.3752775256960792
0.3,9,0.01998879999799455,0.017553087944785755,25.993839858403373,19.485214982648916,0.0024357120532087946,6.508624875754457
0.3,13,0.0208140843719133,0.018612651154398918,20.157635217517633,17.1059837321761,0.0022014332175143807,3.0516514853415337
0.3,5,0.010861101937479684,0.009151353500783443,21.96517070281052,20.31406079216697,0.0017097484366962405,1.6511099106435516
0.3,15,0.014964190481804992,0.013303427956998348,14.883239849305317,10.082788603093656,0.001660762524806644,4.8004512462116615
0.3,14,0.013784159198269289,0.012290443293750286,11.358061274984829,9.800721943590593,0.0014937159045190027,1.5573393313942354
0.3,1,0.014374250312468159,0.014122016107042631,7.884038047666628,7.437993564024805,0.00025223420542552777,0.44604448364182314
0.3,7,0.0083106445744658,0.008389675368865332,16.36955530041715,16.787922642650823,-7.90307943995313e-05,-0.41836734223367245
0.5,2,0.07581300137777199,0.06474871933460236,26.619605276988107,21.882890969447384,0.01106428204316963,4.736714307540723
0.5,8,0.030744990737946957,0.023612591127554577,17.782061519287563,12.000301881874854,0.00713239961039238,5.7817596374127085
0.5,3,0.03191098105499344,0.026869252944986027,10.679687822659938,12.707612736463185,0.005041728110007412,-2.027924913803247
0.5,12,0.018408609798487203,0.013506989926099777,7.769678411024817,6.535582763511094,0.004901619872387426,1.2340956475137226
0.5,11,0.031414037981167105,0.02775054859618346,10.559573363425052,8.790333193532405,0.0036634893849836446,1.7692401698926474
0.5,10,0.021680985791445628,0.01845383954544862,9.85938582010049,7.725303179549918,0.0032271462459970077,2.134082640550572
0.5,4,0.027291669884008874,0.02443461741010348,14.424092609818041,13.167301878540501,0.002857052473905393,1.2567907312775404
0.5,6,0.05498295701177899,0.05237543831268946,8.759671744557096,8.498780669209955,0.0026075186990895324,0.26089107534714095
0.5,9,0.020059227595338503,0.017638944710294407,27.42634926749226,20.91207539406194,0.0024202828850440963,6.514273873430319
0.5,13,0.020874849993949837,0.018664730091889698,21.638943353517963,18.934714759925118,0.0022101199020601384,2.7042285935928447
0.5,5,0.010874527091529898,0.009148945411046347,25.07117808573251,23.414589366099875,0.0017255816804835518,1.6565887196326337
0.5,15,0.015002370439894752,0.013316530734300613,16.099165994850495,11.12106236982558,0.0016858397055941384,4.978103625024914
0.5,14,0.013845255277580721,0.012358821307619413,11.67044888564324,10.391939087578567,0.001486433969961308,1.2785097980646718
0.5,1,0.014278287284399088,0.013600849856932959,8.152631753081616,7.545428486137876,0.0006774374274661297,0.6072032669437402
0.5,7,0.008351153891356747,0.008426805337270101,16.840824097867255,18.63409416843159,-7.565144591335435e-05,-1.7932700705643363
0.7,2,0.07615228565587147,0.04619259852916002,27.219561978958364,20.69830795285093,0.029959687126711446,6.521254026107435
0.7,8,0.031011514048270614,0.023866729189952213,18.147015252038965,12.51670477008834,0.0071447848583184,5.630310481950625
0.7,3,0.032249165238564394,0.02728002021710078,10.992424870571682,12.811086771232318,0.004969145021463613,-1.8186619006606364
0.7,12,0.018494873746352055,0.013554316324492296,8.113004365269886,6.7735825339786,0.004940557421859759,1.3394218312912853
0.7,11,0.031522466966762995,0.027874863396088283,10.700823759554744,9.039852939814178,0.0036476035706747116,1.660970819740566
0.7,10,0.021907617756326367,0.01829219174881776,10.235275399160345,11.814735545504165,0.0036154260075086063,-1.5794601463438198
0.7,4,0.027540401504931252,0.024635712926586468,14.762138961430841,13.594527745317913,0.0029046885783447843,1.1676112161129275
0.7,9,0.020249242008218805,0.017558094734946888,28.36871880746416,17.07748632278972,0.002691147273271917,11.291232484674438
0.7,6,0.05523082201608014,0.052625227719545364,8.82964470831581,8.6027798967578,0.0026055942965347786,0.2268648115580092
0.7,13,0.021134669155948308,0.01871732622385025,22.216167858219592,19.477944356393,0.002417342932098058,2.7382235018265924
0.7,5,0.010986631750316436,0.009225504783292612,26.833963815757475,25.08733747023004,0.0017611269670238239,1.7466263455274351
0.7,15,0.015100457832000718,0.013396961614489555,16.944501677713223,11.747990832871473,0.0017034962175111624,5.19651084484175
0.7,14,0.013938072000526798,0.012443226762115955,11.919113420072792,10.603448786687068,0.001494845238410843,1.3156646333857243
0.7,1,0.014373628170835583,0.013752047593394915,7.753765836876337,7.391524399606211,0.0006215805774406682,0.3622414372701259
0.7,7,0.008508607423709914,0.008550116481880346,17.2950907165062,19.666000125516003,-4.150905817043235e-05,-2.370909409009805
