missing_rate,method_name,scene_id,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all,fit_time_sec
0.3,tucker,8,0.03045653622860096,0.030663687864437832,18.370028245815128,17.035402701998496,-17.156811575158674,477.7698396999913
0.3,tucker,9,0.019802242260800514,0.01998879999799455,29.382909017470016,25.993839858403373,-18.499907821657796,526.5082889000065
0.3,tucker,10,0.02135637890434919,0.021563824924082053,10.440161180282272,9.215391255426699,-18.795718465435318,490.18588343333005
0.3,tucker,11,0.031227538010221784,0.03136376158733321,10.772733194949856,10.274902066019337,-17.68681391859934,501.24633893333277
0.3,tucker,12,0.01830513627733478,0.018379460766757904,8.318835706855573,7.11162710514792,-26.114010337550326,526.7519001999996
0.3,tucker,13,0.020679705422010326,0.0208140843719133,22.7592521832368,20.157635217517633,-20.744277028526394,489.0225099666716
0.3,tucker,14,0.013650090552011275,0.013784159198269289,12.025815981791302,11.358061274984829,-18.77299266178882,475.63313513333
0.3,tucker,15,0.014859732858134377,0.014964190481804992,17.61114815503281,14.883239849305317,-20.161475861682195,475.30734646667014
0.3,tucker_polycal_p2,1,0.014278754281500975,0.01437226931254069,8.669659446683493,7.850255529346359,-23.450494670281756,430.8858438666648
0.3,tucker_polycal_p2,2,0.07453847676515579,0.07498599340518315,25.21109478934407,23.32134109877447,-9.123217583252318,351.03285713334725
0.3,tucker_polycal_p2,3,0.031351166466871895,0.03159787257512411,10.997025153470602,10.091564245159075,-12.723026880374993,351.6305667999865
0.3,tucker_polycal_p2,4,0.026969151571393013,0.027194190149505932,15.696720306439843,14.44626996744856,-20.777558323161077,370.3162105333395
0.3,tucker_polycal_p2,5,0.010780371104677519,0.010848755948245525,28.018606990242912,21.706962956915064,-23.540460593168543,425.6560844000148
0.3,tucker_polycal_p2,6,0.054585052033265434,0.054862670600414276,8.714860037169741,8.477324859600172,-12.421219940800095,526.6583046000087
0.3,tucker_polycal_p2,7,0.008192327804863453,0.008306904695928097,16.87215089585632,15.85087083890965,-21.759375543261473,516.2600077666648
0.3,tucker_polycal_p2,8,0.030376199012001354,0.03058382434149583,17.82963723949827,16.31373982983094,-17.17975309625696,478.23158316666377
0.3,tucker_polycal_p2,9,0.01977769285440445,0.019964222485820454,28.23771934660911,24.58670309138701,-18.51068249469152,526.9253811000162
0.3,tucker_polycal_p2,10,0.021320238709449768,0.02152886924644311,10.393615998778634,9.038392557525734,-18.810429636327804,490.70533319999714
0.3,tucker_polycal_p2,11,0.03115396946668625,0.03128907084465027,10.596538665339345,10.004029501857557,-17.70730096880041,501.6311523666809
0.3,tucker_polycal_p2,12,0.018242909262577694,0.018316686153411865,8.242715039960112,7.012987233511102,-26.14358784508924,527.2503966333412
0.3,tucker_polycal_p2,13,0.02065573384364446,0.020789829393227894,22.260931448315834,19.51907302034824,-20.75435159820779,489.39324623334227
0.3,tucker_polycal_p2,14,0.013643764890730381,0.013777971888581911,12.0027513550576,11.282912481405896,-18.777018597050894,475.99267099999923
0.3,tucker_polycal_p2,15,0.014837358767787615,0.014941861853003502,17.496300721883593,14.46670902273206,-20.17456398236635,475.7122965333435
0.3,tucker_polycal_p3,1,0.014250138774514198,0.014343204908072948,8.576719286201941,7.681339984721139,-23.467966303130122,430.88243496666837
0.3,tucker_polycal_p3,2,0.07286140571037929,0.07330868889888127,22.657349845398063,20.32075299219152,-9.320876943561009,351.1062511333342
