scene_id,scene_name,difficulty_bin,boundary_bin,difficulty_label,boundary_label,pixel_count,gain_ntdpl_rmse,extra_gain_rmse,gain_ntdpl_sam,extra_gain_sam
8,feathers,0,3,Q1,Q4,3240,-0.0022452864795923233,-0.001383778522722423,1.4763238430023193,0.6818865537643433
8,feathers,1,0,Q2,Q1,17490,0.0038086343556642532,0.0025966702960431576,7.369722843170166,3.2276761531829834
8,feathers,1,1,Q2,Q2,20470,0.0032580906990915537,0.00197221664711833,4.968327045440674,2.820460319519043
8,feathers,1,2,Q2,Q3,18890,0.002411923138424754,0.0016102417139336467,3.8047397136688232,2.340707778930664
8,feathers,1,3,Q2,Q4,8686,0.00047414604341611266,0.0003049480728805065,2.0545291900634766,1.4009785652160645
8,feathers,2,0,Q3,Q1,6709,0.00978794414550066,0.006807698868215084,13.531977653503418,6.783181190490723
8,feathers,2,1,Q3,Q2,20370,0.009030667133629322,0.008121333085000515,7.241694450378418,5.229448318481445
8,feathers,2,2,Q3,Q3,23179,0.008183564059436321,0.006881160661578178,6.0749101638793945,4.475627899169922
8,feathers,2,3,Q3,Q4,15278,0.0037220842204988003,0.0029254311230033636,3.0060226917266846,2.1184372901916504
8,feathers,3,0,Q4,Q1,2444,0.016594737768173218,0.011418908834457397,17.951244354248047,11.060277938842773
8,feathers,3,1,Q4,Q2,9014,0.012867129407823086,0.011606662534177303,8.799607276916504,6.783829689025879
8,feathers,3,2,Q4,Q3,15746,0.011789703741669655,0.010735122486948967,6.5275983810424805,4.901895999908447
8,feathers,3,3,Q4,Q4,38332,0.014136414974927902,0.013340580277144909,2.8422133922576904,2.257002115249634
9,flowers,0,0,Q1,Q1,43598,0.0005695602740161121,0.0006923947366885841,9.649436950683594,4.067656993865967
9,flowers,0,1,Q1,Q2,14590,0.0003654818865470588,0.00035327105433680117,5.617539882659912,2.131678342819214
9,flowers,0,2,Q1,Q3,6154,-0.0006034318939782679,-0.00016172905452549458,2.0058178901672363,0.653758704662323
9,flowers,0,3,Q1,Q4,1194,-0.0014743771171197295,-0.0011413170723244548,2.16741943359375,-0.300190269947052
9,flowers,1,0,Q2,Q1,15921,0.002504996955394745,0.0017816831823438406,21.15083122253418,8.136859893798828
9,flowers,1,1,Q2,Q2,27053,0.0007493033772334456,0.0006215557805262506,5.499373435974121,1.9547961950302124
9,flowers,1,2,Q2,Q3,17540,-0.00034746385063044727,-0.00010582558024907485,1.1256614923477173,0.3351072669029236
9,flowers,1,3,Q2,Q4,5022,-0.0011486582225188613,-0.0010301118018105626,0.49221575260162354,0.11675301939249039
9,flowers,2,0,Q3,Q1,5329,0.005586474202573299,0.0038518221117556095,25.49159049987793,17.271421432495117
9,flowers,2,1,Q3,Q2,18759,0.002132449299097061,0.001407915959134698,7.413333415985107,4.039445877075195
9,flowers,2,2,Q3,Q3,23766,0.0011832701275125146,0.0007790158852003515,2.227864980697632,1.1935973167419434
9,flowers,2,3,Q3,Q4,17682,0.0003394155646674335,0.00011819149949587882,0.8295627236366272,0.4376239776611328
9,flowers,3,0,Q4,Q1,688,0.009782307781279087,0.0068303258158266544,25.824098587036133,21.948694229125977
9,flowers,3,1,Q4,Q2,5134,0.00885686930269003,0.006642257794737816,18.181058883666992,14.885854721069336
9,flowers,3,2,Q4,Q3,18076,0.005202703643590212,0.004577104467898607,3.371955633163452,2.5027642250061035
9,flowers,3,3,Q4,Q4,41638,0.004682890139520168,0.004382693208754063,0.8218851089477539,0.6040294766426086
10,glass_tiles,0,0,Q1,Q1,22712,0.00031933397985994816,0.0005185175687074661,1.9391411542892456,2.3161323070526123
10,glass_tiles,0,1,Q1,Q2,22587,0.0009288018336519599,0.0011649149237200618,2.9826102256774902,3.4195151329040527
10,glass_tiles,0,2,Q1,Q3,18899,0.0006947215879336,0.0009716296917758882,2.462188243865967,2.9067182540893555
10,glass_tiles,0,3,Q1,Q4,1338,-0.0002733159635681659,-0.00014703111082781106,0.9935527443885803,1.146802544593811
10,glass_tiles,1,0,Q2,Q1,16494,0.00039750311407260597,0.0004901732318103313,1.832542896270752,1.7544280290603638
10,glass_tiles,1,1,Q2,Q2,21366,0.0008806877303868532,0.0009172657737508416,2.332456111907959,2.27734112739563
10,glass_tiles,1,2,Q2,Q3,22146,0.0010143041145056486,0.0010412373812869191,2.4415414333343506,2.4218509197235107
10,glass_tiles,1,3,Q2,Q4,5530,-7.938543421914801e-05,-9.647295519243926e-05,1.0941470861434937,0.9617709517478943
10,glass_tiles,2,0,Q3,Q1,20039,0.004291214980185032,0.004063963890075684,1.6326407194137573,1.4327976703643799
10,glass_tiles,2,1,Q3,Q2,17137,0.002770941937342286,0.0027278426568955183,1.2183575630187988,1.0031757354736328
10,glass_tiles,2,2,Q3,Q3,15006,0.0019337720004841685,0.0017674657283350825,1.4399837255477905,1.0615547895431519
10,glass_tiles,2,3,Q3,Q4,13354,0.0008372109150514007,0.0007657629321329296,0.9183288216590881,0.7737463712692261
10,glass_tiles,3,0,Q4,Q1,6291,0.0051863789558410645,0.005129605531692505,2.3296658992767334,2.1666066646575928
10,glass_tiles,3,1,Q4,Q2,4446,0.005312396679073572,0.005280181299895048,2.4623212814331055,2.0858607292175293
10,glass_tiles,3,2,Q4,Q3,9485,0.00487267691642046,0.004475840367376804,2.888429641723633,2.29229474067688
10,glass_tiles,3,3,Q4,Q4,45314,0.0059241969138383865,0.005555001553148031,1.3666025400161743,1.2115037441253662
11,pompoms,0,0,Q1,Q1,23641,0.0004753285611514002,0.0006063440814614296,1.9486465454101562,1.23041570186615
11,pompoms,0,1,Q1,Q2,15004,4.313577665016055e-05,0.00012474281538743526,0.6789627075195312,0.26144617795944214
11,pompoms,0,2,Q1,Q3,13560,-0.00036002404522150755,-0.0001520390360383317,0.2907043397426605,0.019457416608929634
11,pompoms,0,3,Q1,Q4,13331,-0.0012859301641583443,-0.0006132356356829405,-0.37217310070991516,-0.19803979992866516
11,pompoms,1,0,Q2,Q1,18730,0.003048570826649666,0.0019363273167982697,3.1088175773620605,1.2058086395263672
11,pompoms,1,1,Q2,Q2,17049,0.002741099102422595,0.0022047008387744427,1.473248839378357,0.8334951996803284
