scene_id,scene_name,difficulty_bin,boundary_bin,difficulty_quartile,boundary_quartile,delta_rmse_missing,delta_sam_missing,pixel_count_rmse,pixel_count_sam
12,sponges,2,3,Q3,Q4,0.0028180284944077346,0.706824860502248,12760,12760
12,sponges,3,0,Q4,Q1,0.009914674204704063,3.508156707962281,6355,6355
12,sponges,3,1,Q4,Q2,0.012793122423604681,2.6321627570033272,19947,19947
12,sponges,3,2,Q4,Q3,0.013390270675886608,1.965000868741762,21222,21222
12,sponges,3,3,Q4,Q4,0.006232896564132064,1.0784403632397572,18012,18012
13,stuffed_toys,0,0,Q1,Q1,-0.0003686714582973606,-1.0814851519866735,40342,40342
13,stuffed_toys,0,1,Q1,Q2,-7.209994855883111e-05,0.6474240626744013,15202,15202
13,stuffed_toys,0,2,Q1,Q3,-0.000284627278888767,1.2771289528040637,8006,8006
13,stuffed_toys,0,3,Q1,Q4,-0.0005402932990908079,0.8886118586990424,1986,1986
13,stuffed_toys,1,0,Q2,Q1,0.0021380328230489304,10.894538082019919,19484,19484
13,stuffed_toys,1,1,Q2,Q2,0.0008010966510412906,2.7843489659464393,29271,29271
13,stuffed_toys,1,2,Q2,Q3,0.0005662495720247158,2.5140259509741916,10553,10553
13,stuffed_toys,1,3,Q2,Q4,-0.00018978700278784492,0.7165025860742215,6228,6228
13,stuffed_toys,2,0,Q3,Q1,0.007300584929570338,29.44965513325146,5156,5156
13,stuffed_toys,2,1,Q3,Q2,0.0022144371849475383,4.627692417588294,16645,16645
13,stuffed_toys,2,2,Q3,Q3,0.0014849908783611254,1.7380459631304397,20870,20870
13,stuffed_toys,2,3,Q3,Q4,0.0009551155144153942,0.7236392871055718,22865,22865
13,stuffed_toys,3,0,Q4,Q1,0.015376028105326222,53.64603919077931,554,554
13,stuffed_toys,3,1,Q4,Q2,0.004766881821775462,8.209720624569638,4418,4418
13,stuffed_toys,3,2,Q4,Q3,0.0036957604869174415,1.4781995162867587,26107,26107
13,stuffed_toys,3,3,Q4,Q4,0.00443417630826495,0.5705953448668599,34457,34457
14,superballs,0,0,Q1,Q1,-0.0006939251029329053,-0.8591341865527591,13035,13035
14,superballs,0,1,Q1,Q2,-0.000359998585445616,-0.7912629732750017,20238,20238
14,superballs,0,2,Q1,Q3,-0.00036765039281675657,-0.7347948074194065,20187,20187
14,superballs,0,3,Q1,Q4,-0.0005491739046191668,-1.0426058149451949,12076,12076
14,superballs,1,0,Q2,Q1,-0.00016153045760305555,2.512253076295466,14560,14560
14,superballs,1,1,Q2,Q2,4.4601271307363215e-05,0.25183147913766485,17572,17572
14,superballs,1,2,Q2,Q3,-5.6394114525325815e-06,0.041178963021756054,18568,18568
14,superballs,1,3,Q2,Q4,-0.00013039008727993786,-0.19071743535423294,14836,14836
14,superballs,2,0,Q3,Q1,0.001545610903704954,4.984797741154444,19326,19326
14,superballs,2,1,Q3,Q2,0.0008070783218689332,1.560678571596298,15266,15266
