scene_id,scene_label,missing_rate,RMSE_gain,SAM_gain,mean_RMSE_gain,mean_SAM_gain,scene_sort_index
5,S05,0.1,0.0016947288239776998,2.0306877887885193,0.001722796477045329,1.771253191148035,11
5,S05,0.3,0.0017097484366962405,1.6511099106435516,0.001722796477045329,1.771253191148035,11
5,S05,0.5,0.0017255816804835518,1.6565887196326337,0.001722796477045329,1.771253191148035,11
5,S05,0.7,0.0017611269670238239,1.7466263455274351,0.001722796477045329,1.771253191148035,11
15,S15,0.1,0.0016611071765686453,5.643443062088484,0.0016778014061201475,5.154627194541702,12
15,S15,0.3,0.001660762524806644,4.8004512462116615,0.0016778014061201475,5.154627194541702,12
15,S15,0.5,0.0016858397055941384,4.978103625024914,0.0016778014061201475,5.154627194541702,12
15,S15,0.7,0.0017034962175111624,5.19651084484175,0.0016778014061201475,5.154627194541702,12
14,S14,0.1,0.0014843310806641804,2.9742284654006603,0.0014898315483888335,1.781435557061323,13
14,S14,0.3,0.0014937159045190027,1.5573393313942354,0.0014898315483888335,1.781435557061323,13
14,S14,0.5,0.001486433969961308,1.2785097980646718,0.0014898315483888335,1.781435557061323,13
14,S14,0.7,0.001494845238410843,1.3156646333857243,0.0014898315483888335,1.781435557061323,13
1,S01,0.1,0.0007094735402182837,1.2286628185462236,0.0005651814376376523,0.6610380016004782,14
1,S01,0.3,0.00025223420542552777,0.44604448364182314,0.0005651814376376523,0.6610380016004782,14
1,S01,0.5,0.0006774374274661297,0.6072032669437402,0.0005651814376376523,0.6610380016004782,14
1,S01,0.7,0.0006215805774406682,0.3622414372701259,0.0005651814376376523,0.6610380016004782,14
7,S07,0.1,-7.859797318263487e-05,3.502364010710945,-6.869731791648822e-05,-0.27004570277421713,15
7,S07,0.3,-7.90307943995313e-05,-0.41836734223367245,-6.869731791648822e-05,-0.27004570277421713,15
7,S07,0.5,-7.565144591335435e-05,-1.7932700705643363,-6.869731791648822e-05,-0.27004570277421713,15
7,S07,0.7,-4.150905817043235e-05,-2.370909409009805,-6.869731791648822e-05,-0.27004570277421713,15
