scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,polycal_fit_time_sec,fit_time_sec,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all
12,sponges,0,0.3,tucker_polycal_p4,4,1e-06,0.6536818000022322,516.3890126000042,0.01776479370892048,0.017827104777097702,8.008477142224974,6.75611316217654,-26.374266281508426
12,sponges,1,0.3,tucker_polycal_p2,2,1e-06,0.38636390000465326,486.6578026000061,0.01824401132762432,0.018325461074709892,8.243335371527618,7.01577828627259,-26.143063304914932
12,sponges,1,0.3,tucker_polycal_p3,3,1e-06,0.46846350000123493,486.7399022000027,0.017868883907794952,0.01794792152941227,8.081232493726734,6.838535435897021,-26.323521440783317
12,sponges,1,0.3,tucker_polycal_p4,4,1e-06,0.5491129000147339,486.8205516000162,0.017763864248991013,0.017842985689640045,8.01032181404671,6.774420873663555,-26.374720885833895
12,sponges,2,0.3,tucker_polycal_p2,2,1e-06,0.732121900015045,578.9810530000104,0.01824312098324299,0.01832745410501957,8.24332781170925,7.026523656680201,-26.143487266163458
12,sponges,2,0.3,tucker_polycal_p3,3,1e-06,0.6837576000252739,578.9326887000207,0.017868349328637123,0.017951270565390587,8.08070061253833,6.847904259915765,-26.323780793466653
12,sponges,2,0.3,tucker_polycal_p4,4,1e-06,0.3707427999761421,578.6196738999715,0.017762813717126846,0.017843417823314667,8.009849483764004,6.783182987302265,-26.375234347556184
13,stuffed_toys,0,0.3,tucker_polycal_p2,2,1e-06,0.44702580000739545,503.5746951000183,0.020664270967245102,0.020790155977010727,22.267789524670533,19.51539243905677,-20.750759850555557
13,stuffed_toys,0,0.3,tucker_polycal_p3,3,1e-06,0.45634120001341216,503.5840105000243,0.020604563876986504,0.020730702206492424,21.904800581649503,19.050704901858996,-20.775893907296293
13,stuffed_toys,0,0.3,tucker_polycal_p4,4,1e-06,0.5419244000222534,503.66959370003315,0.020389745011925697,0.02051517181098461,21.28280112497187,18.26012672182406,-20.866926672977048
13,stuffed_toys,1,0.3,tucker_polycal_p2,2,1e-06,0.40681310000945814,491.63617010001326,0.020635200664401054,0.02076958492398262,22.277568390809982,19.545962944426613,-20.762988295259962
13,stuffed_toys,1,0.3,tucker_polycal_p3,3,1e-06,0.40162240000790916,491.6309794000117,0.020573575049638748,0.02070685476064682,21.893377914465734,19.04970110270492,-20.788967004118707
13,stuffed_toys,1,0.3,tucker_polycal_p4,4,1e-06,0.523120600002585,491.7524776000064,0.02035236358642578,0.020479990169405937,21.277522005733644,18.25342787908647,-20.882865097964117
13,stuffed_toys,2,0.3,tucker_polycal_p2,2,1e-06,0.25836989999515936,472.9688734999952,0.020667729899287224,0.020809747278690338,22.23743642946699,19.495863677561335,-20.74930664880785
13,stuffed_toys,2,0.3,tucker_polycal_p3,3,1e-06,0.2989485999860335,473.0094521999861,0.020607972517609596,0.020747976377606392,21.87750183806984,19.033922771938823,-20.774456443663123
13,stuffed_toys,2,0.3,tucker_polycal_p4,4,1e-06,0.36208749999059364,473.07259109999063,0.020394165068864822,0.020532598719000816,21.261995154416226,18.24792145844805,-20.865043615219044
14,superballs,0,0.3,tucker_polycal_p2,2,1e-06,0.41694389999611303,506.5711313999782,0.013646054081618786,0.013770163990557194,12.0069788196965,11.302812842392491,-18.77556036138004
14,superballs,0,0.3,tucker_polycal_p3,3,1e-06,0.4815392000018619,506.63572669998393,0.013609098270535469,0.013732082210481167,11.958387654711613,11.11047643898187,-18.799115204205616
14,superballs,0,0.3,tucker_polycal_p4,4,1e-06,0.6154223999765236,506.7696098999586,0.01359802857041359,0.013720974326133728,11.927266834626352,10.996292192499967,-18.806183443422803
14,superballs,1,0.3,tucker_polycal_p2,2,1e-06,0.39448680001078174,486.4880391000188,0.013634523376822472,0.013784805312752724,11.942404703841795,11.21728448296976,-18.782902970324745
14,superballs,1,0.3,tucker_polycal_p3,3,1e-06,0.5743914999766275,486.66794379998464,0.013600262813270092,0.013753797858953476,11.89611391911671,11.031219382505707,-18.804755851517868
14,superballs,1,0.3,tucker_polycal_p4,4,1e-06,0.596567500004312,486.6901198000123,0.013586943969130516,0.013738500885665417,11.865229835944826,10.914200915872359,-18.81326659046235
14,superballs,2,0.3,tucker_polycal_p2,2,1e-06,0.2671769000007771,434.91884250000066,0.013650717213749886,0.013778946362435818,12.058870541634505,11.328640118855443,-18.7725924594479
14,superballs,2,0.3,tucker_polycal_p3,3,1e-06,0.29301419999683276,434.9446797999967,0.013612164184451103,0.013737555593252182,12.009916725617533,11.138517204512558,-18.797158835343797
14,superballs,2,0.3,tucker_polycal_p4,4,1e-06,0.3938274999964051,435.0454930999963,0.013599690981209278,0.013724587857723236,11.977618194855076,11.02192433250469,-18.80512138340148
15,thread_spools,0,0.3,tucker_polycal_p2,2,1e-06,0.49123490002239123,504.2395700000343,0.014833061955869198,0.01494477316737175,17.490942445147198,14.46997884025992,-20.17707933569964
15,thread_spools,0,0.3,tucker_polycal_p3,3,1e-06,0.5390715000103228,504.2874066000222,0.014762524515390396,0.014874178916215897,17.383083690876756,13.986921336818467,-20.218483091337383
15,thread_spools,0,0.3,tucker_polycal_p4,4,1e-06,0.7743895000021439,504.52272460001404,0.014715307392179966,0.014824043959379196,17.343878283951643,13.660715446816688,-20.246308666271165
15,thread_spools,1,0.3,tucker_polycal_p2,2,1e-06,0.4484424999973271,490.41515889999573,0.014845110476016998,0.014955107122659683,17.510722111649443,14.474141006324974,-20.170026169768143
15,thread_spools,1,0.3,tucker_polycal_p3,3,1e-06,0.4576056000078097,490.4243220000062,0.014774671755731106,0.014883878640830517,17.408675206238588,14.004365617288297,-20.211338637622514
15,thread_spools,1,0.3,tucker_polycal_p4,4,1e-06,0.5596794000011869,490.5263957999996,0.014728154055774212,0.014835135079920292,17.373453365024627,13.687507416491314,-20.238729018876054
15,thread_spools,2,0.3,tucker_polycal_p2,2,1e-06,0.2751728000002913,432.48216070000035,0.01483390387147665,0.014925705268979073,17.487237608854137,14.456007221611285,-20.176586441631272
15,thread_spools,2,0.3,tucker_polycal_p3,3,1e-06,0.30737860000226647,432.5143665000023,0.014763228595256805,0.014853433705866337,17.380272739356805,13.978566506920691,-20.218068407955325
15,thread_spools,2,0.3,tucker_polycal_p4,4,1e-06,0.3723401000024751,432.57932800000253,0.01471708994358778,0.014806396327912807,17.340808445589815,13.656710868515274,-20.245256168437056
1,balloons,0,0.5,tucker_polycal_p2,2,1e-06,0.37812249999842606,516.8559949999908,0.014203663915395737,0.01430080458521843,8.805319602578143,8.445691880092976,-23.496065203326904
1,balloons,0,0.5,tucker_polycal_p3,3,1e-06,0.4150548999896273,516.892927399982,0.0141563406214118,0.014251941815018654,8.688958922478594,8.286488773547386,-23.525051959284436
1,balloons,0,0.5,tucker_polycal_p4,4,1e-06,0.5085415999928955,516.9864140999853,0.01415135059505701,0.014247316867113113,8.657649149892041,8.24110858015915,-23.52811491335901
1,balloons,1,0.5,tucker_polycal_p2,2,1e-06,0.30283079997752793,488.43598039998324,0.014169742353260517,0.014262938871979713,8.075565930096648,7.88197601373867,-23.5168331171136
1,balloons,1,0.5,tucker_polycal_p3,3,1e-06,0.3107812000089325,488.44393080001464,0.014123689383268356,0.014216085895895958,7.956624450502652,7.711693204318902,-23.54510921850857
1,balloons,1,0.5,tucker_polycal_p4,4,1e-06,0.38469669999904,488.51784630000475,0.014116979204118252,0.014209468849003315,7.921003606501689,7.657168227657829,-23.549237127688478
1,balloons,2,0.5,tucker_polycal_p2,2,1e-06,0.45508949999930337,427.1968412999995,0.014137974940240383,0.014260079711675644,8.158346199491145,7.928813886825452,-23.536328673990894
1,balloons,2,0.5,tucker_polycal_p3,3,1e-06,0.37355309998383746,427.11530489998404,0.014091490767896175,0.014213272370398045,8.046477762753584,7.765214273860314,-23.56493369476473
1,balloons,2,0.5,tucker_polycal_p4,4,1e-06,0.5999523999926168,427.3417041999928,0.014083105139434338,0.014204535633325577,8.011186772435316,7.709310734909117,-23.570103670431113
2,beads,0,0.5,tucker_polycal_p2,2,1e-06,0.25214060000143945,515.4864940000116,0.07466516643762589,0.07510609924793243,25.327377537840405,24.482788115435856,-9.108467198697983
