scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,observed_count,x_min,x_max,x_mean,design_cond_raw,design_cond_scaled,polycal_fit_time_sec,a_0,a_1,a_2,a_3,a_4
10,fake_and_real_food,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.1200343444943428,1.151553750038147,0.06975785456532259,234.44794959586542,23.176567231340147,0.4070615000091493,0.0018700109227115706,0.914857651922097,0.355632061217857,-0.3389592549115661,
10,fake_and_real_food,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.1200343444943428,1.151553750038147,0.06975785456532259,1091.4141252699003,86.74428933140805,0.5254292001482099,0.0035869503039575625,0.7972372134181253,1.298517727186209,-2.507195617678375,1.4560469928222268
11,fake_and_real_lemon_slices,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.09829689562320709,1.0961202383041382,0.06788719238088749,70.01165794444567,6.128283697168816,0.3544701000209898,0.0009554362239603538,0.9671563896420473,0.09039192572664065,,
11,fake_and_real_lemon_slices,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.09829689562320709,1.0961202383041382,0.06788719238088749,347.6119917207633,19.37488887611092,0.3901011000853032,0.0013178293613748393,0.9486695778011351,0.1992762752478215,-0.1442563697445333,
11,fake_and_real_lemon_slices,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.09829689562320709,1.0961202383041382,0.06788719238088749,1733.4244161830043,68.54373821946429,0.5870529001113027,0.0028609106851876,0.8458513240987519,1.1342957695694218,-2.59835273575268,1.8380500434091172
12,fake_and_real_lemons,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.03679340332746506,1.1060386896133423,0.08162409169767855,57.19164692492017,7.550194233579823,0.3781407999340445,9.412260476529819e-05,0.9974189617989893,0.005605044932965459,,
12,fake_and_real_lemons,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.03679340332746506,1.1060386896133423,0.08162409169767855,349.59393273254005,31.469215014409464,0.4062930999789387,0.00033024982320403333,0.9855031130348154,0.07006465191711098,-0.08080205642763016,
12,fake_and_real_lemons,0,0.1,tucker_polycal_p4,4,1e-06,7314486,-0.03679340332746506,1.1060386896133423,0.08162409169767855,1412.0121121926952,97.29414122811113,0.5412634999956936,0.0006354163490567547,0.9666406780898507,0.22554817764080906,-0.46631314271044333,0.28902375155992227
13,fake_and_real_peppers,0,0.1,tucker_polycal_p2,2,1e-06,7314486,-0.059941019862890244,1.1680442094802856,0.07688571510261345,41.32436839121049,6.10522610249113,0.34636970004066825,0.0003681509838550829,0.9907598407372367,0.017774058980103594,,
13,fake_and_real_peppers,0,0.1,tucker_polycal_p3,3,1e-06,7314486,-0.059941019862890244,1.1680442094802856,0.07688571510261345,181.69171141107358,22.28070163059925,0.3915017999242991,0.0009555749582501565,0.9622358994313389,0.1322312592353004,-0.10370610573152975,
