missing_rate,scene_id,RMSE_tucker,RMSE_polycal,RMSE_ntdpl,SAM_tucker,SAM_polycal,SAM_ntdpl,polycal_gain_rmse,joint_extra_gain_rmse,polycal_gain_sam,joint_extra_gain_sam
0.1,13,0.013573412046609524,0.013534359633922577,0.01216187048703432,10.797776563071093,9.690891118838126,6.588011805863791,3.9052412686946605e-05,0.001372489146888256,1.106885444232967,3.102879312974335
0.1,14,0.011505754443944683,0.011477363295853138,0.011356810107827187,6.909968593443889,6.447481025819197,5.156278864143495,2.839114809154511e-05,0.00012055318802595139,0.46248756762469156,1.2912021616757023
0.1,15,0.011456493696029966,0.011396653018891811,0.010625647380948067,5.8082769734579625,5.278715355324272,5.317989088222204,5.9840677138154816e-05,0.0007710056379437447,0.5295616181336902,-0.039273732897931346
0.3,1,0.01425550664728826,0.01420468371361494,0.013653059490025043,8.26644006992506,7.925601407465497,7.516202164077274,5.082293367331993e-05,0.0005516242235898972,0.3408386624595634,0.409399243388223
0.3,2,0.07570585834577395,0.07294981926679611,0.06456068903207779,25.664749986832387,19.2004677729467,20.349979189410245,0.00275603907897784,0.008389130234718323,6.464282213885689,-1.1495114164635467
0.3,3,0.03161132538129029,0.030806150287389755,0.026665158569812775,10.222840489323211,10.303626519990258,12.300330744870926,0.0008051750939005314,0.004140991717576981,-0.08078603066704737,-1.9967042248806681
0.3,4,0.02720818780261016,0.027094567194581032,0.024465743452310562,14.185627641309136,13.501199884505702,12.514928740296778,0.00011362060802912882,0.0026288237422704697,0.6844277568034336,0.9862711442089243
0.3,5,0.010844008932662432,0.010752683505415916,0.009128694422543049,21.93101016583943,21.238531839483574,20.28661924926705,9.132542724651568e-05,0.0016239890828728676,0.6924783263558574,0.9519125902165229
0.3,6,0.05488241503903631,0.05435673147439957,0.05222898721694946,8.595249801086855,8.055827120069212,8.21498163329572,0.0005256835646367461,0.0021277442574501038,0.5394226810176423,-0.15915451322650753
0.3,7,0.008301213239193035,0.008290150202810764,0.008377605117857456,16.19510746393487,15.187011517137043,16.821944573188453,1.1063036382270852e-05,-8.74549150466919e-05,1.0080959467978285,-1.6349330560514108
0.3,8,0.010117888595880547,0.010093302465975285,0.010029543191194534,8.628845193780206,8.114511357961929,7.763365759168565,2.4586129905261947e-05,6.375927478075027e-05,0.5143338358182774,0.35114559879336404
0.3,9,0.011612240239087556,0.01160920225083828,0.011810065247118473,1.9259899083118261,1.9208826910796104,1.9443320732690705,3.037988249276688e-06,-0.00020086299628019333,0.005107217232215744,-0.023449382189460133
0.3,10,0.0196073007612331,0.019296038895845413,0.016745416447520256,12.697716071633737,11.385460881265626,9.258834926771721,0.0003112618653876853,0.002550622448325157,1.312255190368111,2.126625954493905
0.3,11,0.01874960889365267,0.01859869807958603,0.016222678124904633,10.175659333955242,9.851683982366302,9.496180200412793,0.0001509108140666411,0.0023760199546813965,0.3239753515889401,0.35550378195350874
0.3,12,0.007994749894142023,0.007978195324540138,0.008406182751059532,5.634372657263106,5.561501524514743,5.521988285520146,1.6554569601884978e-05,-0.0004279874265193939,0.07287113274836354,0.03951323899459691
0.3,13,0.013612903244063859,0.013572128489613533,0.012187070213258266,12.270603545925107,11.674292785475009,9.518207194035016,4.0774754450325496e-05,0.0013850582763552666,0.5963107604500983,2.156085591439993
0.3,14,0.011536811570119737,0.011506082490086555,0.011392650194466114,8.182537789379703,7.970160180773878,7.487268848638314,3.0729080033181644e-05,0.00011343229562044144,0.21237760860582533,0.4828913321355639
0.3,15,0.011354014503161298,0.01129758171737194,0.010533833876252174,7.258998304153033,6.960651855783417,7.9728782879952025,5.643278578935755e-05,0.0007637478411197662,0.29834644836961566,-1.0122264322117855
0.5,1,0.014305522869863746,0.014247316867113113,0.013630368746817112,8.526988991344773,8.241108580156087,7.812795756243569,5.820600275063294e-05,0.0006169481202960014,0.28588041118868546,0.4283128239125187
0.5,2,0.07581535469151221,0.07295729964971542,0.06460932642221451,26.678414231089334,20.741003675919664,21.892581496480645,0.0028580550417967865,0.008347973227500916,5.93741055516967,-1.1515778205609806
0.5,3,0.03175429138575754,0.03096996620297432,0.02670392021536827,10.761125071561967,10.921900481813552,12.800101135772406,0.0007843251827832215,0.004266045987606049,-0.16077541025158482,-1.8782006539588547
0.5,4,0.027279968252599048,0.02715090475976467,0.02440822124481201,14.401170409967548,13.704421697294263,12.894408333224767,0.00012906349283437618,0.0027426835149526596,0.6967487126732852,0.810013364069496
0.5,5,0.010861112969953877,0.010768302716314793,0.009144366718828678,25.043131972433358,24.4479115967204,23.39321021548364,9.281025363908416e-05,0.0016239359974861145,0.5952203757129588,1.0547013812367574
0.5,6,0.05499586682980989,0.05447373539209366,0.05239015072584152,8.777459824338234,8.355050715629233,8.517304342999122,0.0005221314377162334,0.0020835846662521362,0.42240910870900095,-0.16225362736988913
0.5,7,0.00836168685871735,0.008350765332579613,0.008451524190604687,16.672448039451496,15.910386431624556,18.68353786413406,1.0921526137738086e-05,-0.000100758858025074,0.76206160782694,-2.773151432509504
0.5,8,0.010160680460958983,0.010137020610272884,0.010082615539431572,8.91941954057522,8.499279761767092,8.505027341049567,2.365985068609848e-05,5.440507084131241e-05,0.42013977880812803,-0.005747579282475712
0.5,9,0.011692698588752564,0.011690068989992142,0.011880707927048206,2.009790567492472,2.0057479229221835,2.042087205749289,2.6295987604219723e-06,-0.0001906389370560646,0.004042644570288356,-0.036339282827105635
0.5,10,0.019683130533738866,0.019379673525691032,0.016792763024568558,12.83621163678114,11.853555100903653,9.806170438051849,0.00030345700804783327,0.0025869105011224747,0.9826565358774868,2.0473846628518046
0.5,11,0.01883940206171302,0.01870269887149334,0.016401829198002815,10.434059396037215,10.348700640521542,10.03185694439,0.0001367031902196822,0.0023008696734905243,0.08535875551567251,0.3168436961315422
0.5,12,0.00802220790191488,0.008003642782568932,0.008409124799072742,5.69183205761844,5.661571710363795,5.700575784220076,1.8565119345947956e-05,-0.0004054820165038109,0.03026034725464477,-0.03900407385628135
0.5,13,0.013627373128957405,0.013587442226707935,0.012207424268126488,12.446932334684059,12.025626855119166,10.11883333275335,3.99309022494701e-05,0.0013800179585814476,0.42130547956489295,1.906793522365815
0.5,14,0.011607024297789422,0.011575778014957905,0.011456347070634365,8.356003665113708,8.222103150683202,7.939263095029718,3.1246282831517286e-05,0.00011943094432353973,0.13390051443050588,0.2828400556534838
0.5,15,0.011433750114551893,0.01137369591742754,0.010611266829073429,7.477373321715262,7.332954825261021,8.530223445334586,6.0054197124353656e-05,0.0007624290883541107,0.14441849645424032,-1.1972686200735652
0.7,1,0.014335292565776944,0.01428101398050785,0.01365550234913826,7.836293538196189,7.612046869278912,7.4361594212075826,5.4278585269093224e-05,0.0006255116313695908,0.22424666891727707,0.17588744807132972
0.7,2,0.07617198252596001,0.0733630508184433,0.06512625515460968,27.132884793422356,21.4911997485813,22.7107053799434,0.0028089317075167125,0.008236795663833618,5.641685044841054,-1.2195056313620967
0.7,3,0.03218387376727606,0.03145711496472359,0.02718612179160118,11.02290137343467,11.237765276269524,12.879067566973939,0.0007267588025524699,0.004270993173122406,-0.21486390283485335,-1.6413022907044148
0.7,4,0.027575457036949004,0.027450818568468094,0.024672485888004303,14.714952925511975,14.063615304027984,13.582449509231187,0.00012463846848091015,0.002778332680463791,0.6513376214839912,0.4811657947967962
0.7,5,0.010997638860888568,0.010906017385423183,0.00923700351268053,26.85074589283628,26.277081866578772,25.08943106435828,9.162147546538414e-05,0.001669013872742653,0.5736640262575072,1.1876508022204924
0.7,6,0.055228919719815715,0.054709549993276596,0.0526084303855896,8.856771664630857,8.469097008584681,8.637518290430535,0.0005193697265391192,0.0021011196076869965,0.3876746560461761,-0.1684212818458537
0.7,7,0.008517982547390175,0.008504968136548996,0.00857566948980093,17.0647500196758,16.34696602655751,19.60535233799905,1.3014410841179214e-05,-7.070135325193405e-05,0.7177839931182888,-3.258386311441541
0.7,8,0.010224041304691785,0.010199126787483692,0.010117743164300919,9.063512285165205,8.690042736556512,8.887438266848491,2.4914517208093206e-05,8.138362318277359e-05,0.37346954860869275,-0.19739553029197943
0.7,9,0.012206709717206518,0.01220345962792635,0.012285852804780006,1.9610888334501493,1.9550235700024172,1.940386890233601,3.2500892801681086e-06,-8.239317685365677e-05,0.006065263447732061,0.014636679768816219
0.7,10,0.0198576947903353,0.01953824609518051,0.016963031142950058,12.954298657914809,12.085230021579633,10.112156048214974,0.00031944869515478785,0.0025752149522304535,0.8690686363351752,1.9730739733646594
0.7,11,0.01893675237810019,0.01880653388798237,0.016511958092451096,10.68502601542105,10.697856231353562,10.382881663177505,0.00013021849011782272,0.002294575795531273,-0.01283021593251199,0.31497456817605674
0.7,12,0.008092711443843513,0.008074052631855011,0.008439459837973118,5.724497039093,5.709259345491719,5.738961342915052,1.8658811988502e-05,-0.00036540720611810684,0.015237693601281244,-0.02970199742333257
0.7,13,0.013775606736641808,0.01373162493109703,0.012337559834122658,12.749017802532578,12.389533335000639,10.490724120439356,4.3981805544776945e-05,0.0013940650969743729,0.35948446753193863,1.8988092145612825
0.7,14,0.011731613108918232,0.011697053909301758,0.011561461724340916,8.58128528978749,8.46882983817109,8.173417996876308,3.455919961647437e-05,0.00013559218496084213,0.11245545161640003,0.29541184129478104
0.7,15,0.011596865169609612,0.011540443636476994,0.01071642991155386,7.614856567132819,7.578065315500112,8.777339573043161,5.6421533132618856e-05,0.0008240137249231339,0.03679125163270758,-1.199274257543049
