missing_rate,method_name,scene_id,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all,NMSE_dB_missing,fit_time_sec
0.5,ntdpl,12,0.013447453578313192,0.013506989926099777,6.947908042820511,6.535582763511094,-28.792668940870968,-28.75531061804882,1162.9859955999952
0.5,ntdpl,13,0.018521000320712726,0.018664730091889698,20.35831396528031,18.934714759925118,-21.701924037235035,-21.63437617869434,866.4035603333323
0.5,ntdpl,14,0.01220677855114142,0.012358821307619413,10.90764908434529,10.391939087578567,-19.743724888820964,-19.63768956489774,875.6032519
0.5,ntdpl,15,0.013218339843054613,0.013316530734300613,12.225549373375147,11.12106236982558,-21.178157422674676,-21.118986235597045,1196.1915031666576
0.5,tucker,1,0.014174157648604037,0.014278287284399088,8.396720497392137,8.152631753081616,-23.514143682869307,-23.452776519407006,477.11759129999945
0.5,tucker,2,0.0753631901809101,0.07581300137777199,27.334903365736107,26.619605276988107,-9.02764258103667,-8.972189087682656,485.0559858000003
0.5,tucker,3,0.03162560913762155,0.03191098105499344,10.932259106266388,10.679687822659938,-12.647323467891134,-12.565092047812044,480.5641768999946
0.5,tucker,4,0.027072991569845217,0.027291669884008874,14.886905451453147,14.424092609818041,-20.74417928647927,-20.67500403034133,517.8993718666728
0.5,tucker,5,0.010814965019668029,0.010874527091529898,28.22041815537106,25.07117808573251,-23.512632645382467,-23.465216578907654,505.1795773333336
0.5,tucker,6,0.05469029186764731,0.05498295701177899,8.84208368599124,8.759671744557096,-12.404488993555056,-12.35868604419027,507.5529380666703
0.5,tucker,7,0.00823848733316356,0.008351153891356747,17.24580184348747,16.840824097867255,-21.710590416320173,-21.594808987149843,502.9964010333376
0.5,tucker,8,0.030534066149023653,0.030744990737946957,18.443161724706933,17.782061519287563,-17.134731307227216,-17.073687267118046,503.9401112666698
0.5,tucker,9,0.019869574389317995,0.020059227595338503,29.218101167403216,27.42634926749226,-18.47042587574971,-18.388979768900292,539.3238967000021
0.5,tucker,10,0.02145011614159699,0.021680985791445628,10.470922039201476,9.85938582010049,-18.757681708951935,-18.667031874014384,507.789018566662
0.5,tucker,11,0.03126237932735935,0.031414037981167105,10.746839820260762,10.559573363425052,-17.67712889802657,-17.636363815525108,525.989724499998
0.5,tucker,12,0.018331293283747118,0.018408609798487203,8.322623143923842,7.769678411024817,-26.101607579827913,-26.06606229877974,669.7444086333368
0.5,tucker,13,0.02073150932506283,0.020874849993949837,22.82702371700415,21.638943353517963,-20.722551152293345,-20.662303829783756,683.7003728000009
0.5,tucker,14,0.013703534835184614,0.013845255277580721,12.002118369938943,11.67044888564324,-18.739052751719296,-18.651170339144226,467.50743793333214
0.5,tucker,15,0.014901326502178657,0.015002370439894752,17.621424839742307,16.099165994850495,-20.13719672996073,-20.08361038543183,450.2915978666597
0.7,ntdpl,1,0.013661287724971771,0.013752047593394915,7.503956166732728,7.391524399606211,-23.8345346242295,-23.777256693659485,776.632367733333
0.7,ntdpl,2,0.045746455900371075,0.04619259852916002,22.251084514516567,20.69830795285093,-14.14022342730354,-14.043795219397774,1361.2787760000003
0.7,ntdpl,3,0.026858118673165638,0.02728002021710078,12.808192473252229,12.811086771232318,-14.066596530886521,-13.927612123465067,1580.3869418333343
