domain,dataset,unit_id,unit_label,source_path,raw_shape,processed_shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Material reflectance,BRDF,brdf_dark-blue-paint,dark blue paint,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\dark-blue-paint.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0066013718023896,0.0066053573973476,-0.0603752534681382,,,,0.0280783506340779,moderate,6406,6411,0.0646395999938249,1.7565421999897808,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0065800664; p_max=4
Material reflectance,BRDF,brdf_dark-red-paint,dark red paint,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\dark-red-paint.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0047405622899532,0.004818164743483,-1.636988373600726,,,,0.0145756188083056,boundary,6406,6411,0.0625517000444233,1.8454613001085816,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0047326139; p_max=4
Material reflectance,BRDF,brdf_dark-specular-fabric,dark specular fabric,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\dark-specular-fabric.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0054493490606546,0.0053765848278999,1.335283020867194,,,,0.0213259974146639,moderate,6406,6411,0.062629799824208,1.8523664998356253,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.005435986; p_max=4
Material reflectance,BRDF,brdf_delrin,delrin,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\delrin.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0049483990296721,0.0048215743154287,2.562944368126568,,,,0.09184728782547,effective,6406,6411,0.0657798999454826,1.816003100015223,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0048963488; p_max=4
Material reflectance,BRDF,brdf_fruitwood-241,fruitwood 241,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\fruitwood-241.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0035410209093242,0.0035442609805613,-0.0915010478632144,,,,0.0236387345595822,moderate,6406,6411,0.0681684999726712,1.865294999908656,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0035313971; p_max=4
Material reflectance,BRDF,brdf_gold-metallic-paint,gold metallic paint,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\gold-metallic-paint.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0076391068287193,0.0076654534786939,-0.3448917598001616,,,,0.0063935922807121,boundary,6406,6411,0.0675737999845296,1.8915247998666016,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0076334858; p_max=4
Material reflectance,BRDF,brdf_gold-metallic-paint2,gold metallic paint2,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\gold-metallic-paint2.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0033544257748872,0.0032875009346753,1.9951206168548683,,,,0.0381935722690732,moderate,6406,6411,0.0634170998819172,1.8416111001279205,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0033397081; p_max=4
Material reflectance,BRDF,brdf_gold-metallic-paint3,gold metallic paint3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\gold-metallic-paint3.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0028399357106536,0.0026922570541501,5.200070408268758,,,,0.107508728971467,effective,6406,6411,0.0713430999312549,1.758594400016591,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0028050013; p_max=4
Material reflectance,BRDF,brdf_gold-paint,gold paint,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\gold-paint.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0033925492316484,0.0035008313134312,-3.1917615453498787,,,,0.0185045521924912,moderate,6406,6411,0.0586827001534402,1.8605700000189245,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0033853294; p_max=4
Material reflectance,BRDF,brdf_gray-plastic,gray plastic,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\gray-plastic.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0031549530103802,0.0027841199189424,11.753997293072835,,,,0.3136144879041035,effective,6406,6411,0.063554799882695,1.762812600005418,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0030430716; p_max=4
Material reflectance,BRDF,brdf_grease-covered-steel,grease covered steel,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\grease-covered-steel.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0027950278017669,0.0028559153433889,-2.178423469828489,,,,0.000264099622562,boundary,6406,6411,0.0562530001625418,1.7608827999792993,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0027949428; p_max=4
