scene_id,scene_name,target_shape,rank,snr,snr_value,method,params,fit_time_sec,RMSE,SAM,NMSE_dB
7,egyptian_statue,"(128, 128)","(12, 12, 6)",10 dB,10.0,NTD-PL,4127,2.2618477000214625,0.015063895843923092,27.738547402632385,-17.660305955028544
8,face,"(128, 128)","(12, 12, 6)",Clean,999.0,Tucker,4122,0.658020899980329,0.018722614273428917,15.514582605708252,-18.850780267005508
8,face,"(128, 128)","(12, 12, 6)",Clean,999.0,NTD-PL,4127,2.296487999992678,0.017460821196436882,12.82446712664815,-19.456816325467507
8,face,"(128, 128)","(12, 12, 6)",40 dB,40.0,Tucker,4122,0.5740870999870822,0.018722986802458763,15.518555969891008,-18.850607361421957
8,face,"(128, 128)","(12, 12, 6)",40 dB,40.0,NTD-PL,4127,2.271201200026553,0.017461247742176056,12.825461701699851,-19.45660432251039
8,face,"(128, 128)","(12, 12, 6)",30 dB,30.0,Tucker,4122,0.6014509999949951,0.018728844821453094,15.522638406332085,-18.84788989212046
8,face,"(128, 128)","(12, 12, 6)",30 dB,30.0,NTD-PL,4127,2.1631313000107184,0.017469218000769615,12.829675238060911,-19.452640274654165
8,face,"(128, 128)","(12, 12, 6)",20 dB,20.0,Tucker,4122,0.37615919997915626,0.01877642050385475,15.732707163216745,-18.825854009398785
8,face,"(128, 128)","(12, 12, 6)",20 dB,20.0,NTD-PL,4127,2.0993424000043888,0.017504027113318443,12.884450927680179,-19.435350636382367
8,face,"(128, 128)","(12, 12, 6)",10 dB,10.0,Tucker,4122,0.6318754999956582,0.01928054355084896,16.54909638510688,-18.59572448559948
8,face,"(128, 128)","(12, 12, 6)",10 dB,10.0,NTD-PL,4127,0.9511599000252318,0.017977984622120857,13.231901693942941,-19.203289457878054
9,fake_and_real_beers,"(128, 128)","(12, 12, 6)",Clean,999.0,Tucker,4122,0.16593439999269322,0.020646724849939346,2.387053441980388,-24.326506540461818
9,fake_and_real_beers,"(128, 128)","(12, 12, 6)",Clean,999.0,NTD-PL,4127,0.827252299990505,0.020057715475559235,2.278731083844292,-24.57790080720161
9,fake_and_real_beers,"(128, 128)","(12, 12, 6)",40 dB,40.0,Tucker,4122,0.1660066999902483,0.020649325102567673,2.384939480995222,-24.325413289795748
9,fake_and_real_beers,"(128, 128)","(12, 12, 6)",40 dB,40.0,NTD-PL,4127,0.8174597999895923,0.020059984177350998,2.2777523659013497,-24.57691877867997
9,fake_and_real_beers,"(128, 128)","(12, 12, 6)",30 dB,30.0,Tucker,4122,0.16520989997661673,0.020665930584073067,2.391059186850227,-24.31843097569956
