domain,dataset,unit_id,unit_label,shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Natural images,CBSD68,cbsd68_032,0031,96x96x3,"(32,32,3)",0,0.03403664380311966,0.033145472407341,2.6182704761771336,3.282874749095299,3.054316226148247,6.962145692888191,0.02548380874199509,boundary,9225,9230,0.026912200031802058,0.26230029994621873,ok,link_refresh_rmse=0.033936929; p_max=4
Natural images,CBSD68,cbsd68_033,0032,96x96x3,"(32,32,3)",0,0.017821425572037697,0.014284874312579632,19.844379144432814,4.108295629882055,3.9515016050485334,3.816522445294984,0.04988359118367126,boundary,9225,9230,0.022470999974757433,0.22056839987635612,ok,link_refresh_rmse=0.017719369; p_max=4
Natural images,CBSD68,cbsd68_034,0033,96x96x3,"(32,32,3)",0,0.07814193516969681,0.07150077819824219,8.498838628749548,5.278167061741475,4.372418926966621,17.160277880177812,0.14635741787159043,effective,9225,9230,0.02049179980531335,0.23006219998933375,ok,link_refresh_rmse=0.076836273; p_max=4
Natural images,CBSD68,cbsd68_035,0034,96x96x3,"(32,32,3)",0,0.03127562254667282,0.030920485034585,1.1355090104372754,1.941281598256866,1.9532165353971251,-0.6147967997520706,0.009644631840263136,boundary,9225,9230,0.014144000131636858,0.2446514000184834,ok,link_refresh_rmse=0.031240914; p_max=4
Natural images,CBSD68,cbsd68_036,0035,96x96x3,"(32,32,3)",0,0.0709415003657341,0.06919163465499878,2.466631945636908,4.545135486725766,4.509829739574163,0.7767809618594358,0.048574035057321115,boundary,9225,9230,0.014239500043913722,0.25090160011313856,ok,link_refresh_rmse=0.070545882; p_max=4
Natural images,CBSD68,cbsd68_037,0036,96x96x3,"(32,32,3)",0,0.06226032227277756,0.06087115406990051,2.2312255256096525,3.204923125650284,3.3182973979223473,-3.537503641341151,0.016897723547917267,boundary,9225,9230,0.021842600079253316,0.23786059999838471,ok,link_refresh_rmse=0.062139317; p_max=4
Natural images,CBSD68,cbsd68_038,0037,96x96x3,"(32,32,3)",0,0.03360975906252861,0.03076843172311783,8.453875953483305,2.42976152267109,2.5287068186342783,-4.072222522250477,0.04556835401788838,boundary,9225,9230,0.033903999952599406,0.2553222000133246,ok,link_refresh_rmse=0.033433896; p_max=4
Natural images,CBSD68,cbsd68_039,0038,96x96x3,"(32,32,3)",0,0.022550180554389954,0.02095532976090908,7.072452433957988,1.3821986634760584,1.3117026736792445,5.100279117585394,0.08316313272838585,moderate,9225,9230,0.01379840006120503,0.210687099955976,ok,link_refresh_rmse=0.022335304; p_max=4
Natural images,CBSD68,cbsd68_040,0039,96x96x3,"(32,32,3)",0,0.028699366375803947,0.02844957821071148,0.8703612540486655,0.5552202935472744,0.576657818961642,-3.861084629562861,0.01679681908265988,boundary,9225,9230,0.01829609996639192,0.2464288999326527,ok,link_refresh_rmse=0.028643921; p_max=4
Natural images,CBSD68,cbsd68_041,0040,96x96x3,"(32,32,3)",0,0.033978138118982315,0.031647998839616776,6.8577603375618095,2.3920646573350943,2.41423098073854,-0.9266607127643591,0.051694030859215895,moderate,9225,9230,0.03214370016939938,0.2520638999994844,ok,link_refresh_rmse=0.033776518; p_max=4
