domain,dataset,unit_id,unit_label,source_path,raw_shape,processed_shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g09_c04,ApplyEyeMakeup:v_ApplyEyeMakeup_g09_c04,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g09_c04.avi,192x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.05365082249045372,0.05244842544198036,2.2411530572290945,5.453298069779438,5.591962291172129,-2.542758888627899,0.06217002039873979,moderate,14985,14990,0.2610104000195861,6.653329600114375,ok,split=train; action=ApplyEyeMakeup; raw_frames=192; sampled_frames=24; link_refresh_rmse=0.053268183; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g09_c05,ApplyEyeMakeup:v_ApplyEyeMakeup_g09_c05,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g09_c05.avi,195x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06481017172336578,0.06357686966657639,1.9029452075109379,5.311198793079997,5.782296277384266,-8.869889880944875,0.07316404424668597,moderate,14985,14990,0.23735029995441437,6.52145060012117,ok,split=train; action=ApplyEyeMakeup; raw_frames=195; sampled_frames=24; link_refresh_rmse=0.064266548; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g09_c07,ApplyEyeMakeup:v_ApplyEyeMakeup_g09_c07,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g09_c07.avi,262x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.0601966567337513,0.05933298170566559,1.4347558069640434,5.249263348766559,5.439238510399281,-3.619082317090476,0.049930805504270453,moderate,14985,14990,0.22103839996270835,6.594497099984437,ok,split=train; action=ApplyEyeMakeup; raw_frames=262; sampled_frames=24; link_refresh_rmse=0.059851609; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g10_c02,ApplyEyeMakeup:v_ApplyEyeMakeup_g10_c02,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g10_c02.avi,99x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.0665116086602211,0.06194106861948967,6.871792958850736,7.779015787902691,5.864970482205255,24.605237447570264,0.2497793686211379,effective,14985,14990,0.22759929997846484,6.65144980000332,ok,split=train; action=ApplyEyeMakeup; raw_frames=99; sampled_frames=24; link_refresh_rmse=0.06462618; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g10_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g10_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g10_c03.avi,107x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.0636453926563263,0.059338368475437164,6.767220691285994,7.302839703358063,5.625727982468371,22.965199689629035,0.25733779436385,effective,14985,14990,0.2446496000047773,6.776262499857694,ok,split=train; action=ApplyEyeMakeup; raw_frames=107; sampled_frames=24; link_refresh_rmse=0.061787423; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g10_c04,ApplyEyeMakeup:v_ApplyEyeMakeup_g10_c04,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g10_c04.avi,125x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06058182567358017,0.05638507008552551,6.927416830696254,7.288132354081373,5.6430180828412055,22.572508172397548,0.2514584720925916,effective,14985,14990,0.24603669997304678,6.6335182001348585,ok,split=train; action=ApplyEyeMakeup; raw_frames=125; sampled_frames=24; link_refresh_rmse=0.058853112; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g10_c05,ApplyEyeMakeup:v_ApplyEyeMakeup_g10_c05,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g10_c05.avi,121x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06670249253511429,0.06203480064868927,6.99777730789865,8.030459699490287,6.82255881180376,15.041491183415005,0.2565056626530971,effective,14985,14990,0.2684834999963641,6.433428900083527,ok,split=train; action=ApplyEyeMakeup; raw_frames=121; sampled_frames=24; link_refresh_rmse=0.064761482; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g11_c01,ApplyEyeMakeup:v_ApplyEyeMakeup_g11_c01,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g11_c01.avi,141x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.049639128148555756,0.045457396656274796,8.424264583709508,2.9346758116955285,2.928866591854279,0.1979509906374655,0.35273127726396036,effective,14985,14990,0.23372010001912713,6.639232599874958,ok,split=train; action=ApplyEyeMakeup; raw_frames=141; sampled_frames=24; link_refresh_rmse=0.047663681; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g11_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g11_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g11_c03.avi,126x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.04114013910293579,0.037959784269332886,7.7305398157391085,1.7341817821255434,1.8532395380167714,-6.8653561649864585,0.29966769370056334,effective,14985,14990,0.2168904000427574,6.5122342999093235,ok,split=train; action=ApplyEyeMakeup; raw_frames=126; sampled_frames=24; link_refresh_rmse=0.039744988; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g11_c04,ApplyEyeMakeup:v_ApplyEyeMakeup_g11_c04,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g11_c04.avi,139x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.04867830127477646,0.04443291574716568,8.721309939816248,2.3142842890311006,2.4637790072536196,-6.459652296438764,0.3692009146995445,effective,14985,14990,0.23194579989649355,6.490460800006986,ok,split=train; action=ApplyEyeMakeup; raw_frames=139; sampled_frames=24; link_refresh_rmse=0.046652548; p_max=4
