panel,seed,P,Tucker,NTD-PL,gain_rmse
linear,8,4,0.028917234390974045,0.028859874233603477,5.736015737056732e-05
linear,8,5,0.028917234390974045,0.028858162462711334,5.907192826271057e-05
linear,8,6,0.028917234390974045,0.028857236728072166,5.999766290187836e-05
linear,9,1,0.030063003301620483,0.030062967911362648,3.5390257835388184e-08
linear,9,2,0.030063003301620483,0.030061496421694756,1.5068799257278442e-06
linear,9,3,0.030063003301620483,0.030059928074479103,3.07522714138031e-06
linear,9,4,0.030063003301620483,0.030060363933444023,2.639368176460266e-06
linear,9,5,0.030063003301620483,0.03003809228539467,2.491101622581482e-05
linear,9,6,0.030063003301620483,0.03003769926726818,2.530403435230255e-05
poly3,0,1,0.15563754737377167,0.15305697917938232,0.0025805681943893433
poly3,0,2,0.15563754737377167,0.14572113752365112,0.009916409850120544
poly3,0,3,0.15563754737377167,0.059836797416210175,0.09580074995756149
poly3,0,4,0.15563754737377167,0.057411979883909225,0.09822556748986244
poly3,0,5,0.15563754737377167,0.05696188658475876,0.09867566078901291
poly3,0,6,0.15563754737377167,0.05567067861557007,0.0999668687582016
poly3,1,1,0.15589168667793274,0.15268349647521973,0.0032081902027130127
poly3,1,2,0.15589168667793274,0.14378905296325684,0.012102633714675903
poly3,1,3,0.15589168667793274,0.07227909564971924,0.0836125910282135
poly3,1,4,0.15589168667793274,0.06697969138622284,0.0889119952917099
poly3,1,5,0.15589168667793274,0.06583796441555023,0.09005372226238251
poly3,1,6,0.15589168667793274,0.06460290402173996,0.09128878265619278
poly3,2,1,0.13950064778327942,0.13868272304534912,0.0008179247379302979
poly3,2,2,0.13950064778327942,0.13532640039920807,0.00417424738407135
poly3,2,3,0.13950064778327942,0.05766874924302101,0.08183189854025841
poly3,2,4,0.13950064778327942,0.05173606798052788,0.08776457980275154
poly3,2,5,0.13950064778327942,0.04992605000734329,0.08957459777593613
poly3,2,6,0.13950064778327942,0.049086615443229675,0.09041403234004974
poly3,3,1,0.10967022180557251,0.10688833892345428,0.002781882882118225
poly3,3,2,0.10967022180557251,0.1056215763092041,0.004048645496368408
poly3,3,3,0.10967022180557251,0.09657392650842667,0.013096295297145844
poly3,3,4,0.10967022180557251,0.07821681350469589,0.03145340830087662
poly3,3,5,0.10967022180557251,0.07014156132936478,0.03952866047620773
poly3,3,6,0.10967022180557251,0.0677131861448288,0.04195703566074371
poly3,4,1,0.13904179632663727,0.13698987662792206,0.00205191969871521
poly3,4,2,0.13904179632663727,0.09752882272005081,0.041512973606586456
poly3,4,3,0.13904179632663727,0.05778520554304123,0.08125659078359604
poly3,4,4,0.13904179632663727,0.05323716998100281,0.08580462634563446
poly3,4,5,0.13904179632663727,0.052675336599349976,0.08636645972728729
poly3,4,6,0.13904179632663727,0.05262865126132965,0.08641314506530762
poly3,5,1,0.1602901667356491,0.1561414897441864,0.0041486769914627075
poly3,5,2,0.1602901667356491,0.15022535622119904,0.010064810514450073
poly3,5,3,0.1602901667356491,0.06707829982042313,0.09321186691522598
poly3,5,4,0.1602901667356491,0.05974377691745758,0.10054638981819153
poly3,5,5,0.1602901667356491,0.05670994520187378,0.10358022153377533
poly3,5,6,0.1602901667356491,0.056558772921562195,0.10373139381408691
poly3,6,1,0.2718179523944855,0.24796876311302185,0.023849189281463623
poly3,6,2,0.2718179523944855,0.22298449277877808,0.0488334596157074
poly3,6,3,0.2718179523944855,0.08056432753801346,0.19125362485647202
poly3,6,4,0.2718179523944855,0.07704571634531021,0.19477223604917526
poly3,6,5,0.2718179523944855,0.07614166289567947,0.195676289498806
poly3,6,6,0.2718179523944855,0.07581117004156113,0.19600678235292435
poly3,7,1,0.20703481137752533,0.19835874438285828,0.008676066994667053
poly3,7,2,0.20703481137752533,0.1977124810218811,0.009322330355644226
poly3,7,3,0.20703481137752533,0.08938252925872803,0.1176522821187973
poly3,7,4,0.20703481137752533,0.08141632378101349,0.12561848759651184
poly3,7,5,0.20703481137752533,0.07912402600049973,0.1279107853770256
poly3,7,6,0.20703481137752533,0.07826096564531326,0.12877384573221207
poly3,8,1,0.13019554316997528,0.12611456215381622,0.004080981016159058
poly3,8,2,0.13019554316997528,0.11990057677030563,0.010294966399669647
poly3,8,3,0.13019554316997528,0.060452867299318314,0.06974267587065697
poly3,8,4,0.13019554316997528,0.0556086003780365,0.07458694279193878
poly3,8,5,0.13019554316997528,0.05332520604133606,0.07687033712863922
poly3,8,6,0.13019554316997528,0.05348840355873108,0.0767071396112442
poly3,9,1,0.14390325546264648,0.14346423745155334,0.00043901801109313965
poly3,9,2,0.14390325546264648,0.13909006118774414,0.004813194274902344
poly3,9,3,0.14390325546264648,0.11294549703598022,0.03095775842666626
poly3,9,4,0.14390325546264648,0.09750363230705261,0.04639962315559387
poly3,9,5,0.14390325546264648,0.08862539380788803,0.05527786165475845
poly3,9,6,0.14390325546264648,0.085942842066288,0.05796041339635849
tanh,0,1,0.27143609523773193,0.27128419280052185,0.000151902437210083
