scene_id,scene_name,method,method_label,RMSE_missing,SAM_missing,NMSE_dB_all,fit_time_sec
12,sponges,polycal,Tucker + PolyCal(P=4),0.01786717213690281,7.445117352799351,-26.362002042081244,0.43743150000227615
12,sponges,mlpcal,Tucker + MLPCal(H=16),0.017862174659967422,7.50556809995183,-26.365454346617216,9.09712569997646
12,sponges,ntdpl,NTD-PL,0.01350419968366623,6.52674369522724,-28.796020888060045,1162.9983360999904
13,stuffed_toys,tucker,Tucker,0.020885410029310224,21.528536458060984,-20.715273665495975,528.772272000002
13,stuffed_toys,polycal,Tucker + PolyCal(P=4),0.020582932978868484,19.882540274422148,-20.84098639196037,0.3858889999683015
13,stuffed_toys,mlpcal,Tucker + MLPCal(H=16),0.020656989887356758,20.344094247082225,-20.81025967803758,9.785601200012024
13,stuffed_toys,ntdpl,NTD-PL,0.018746886402368546,18.925241166831974,-21.66175580069097,325.8913714999944
14,superballs,tucker,Tucker,0.013855190531048282,11.719534439344104,-18.729169895543144,527.9867518999963
14,superballs,polycal,Tucker + PolyCal(P=4),0.013792417012155056,11.481240047598863,-18.76777116139635,0.3907222999841906
14,superballs,mlpcal,Tucker + MLPCal(H=16),0.013626123778522015,11.382152421130588,-18.87359173263586,9.730955299979541
14,superballs,ntdpl,NTD-PL,0.012304769828915596,10.42134077946527,-19.774156852030913,1157.089245199997
15,thread_spools,tucker,Tucker,0.015006841834084718,16.093059227779257,-20.138159123488585,504.44461789997877
15,thread_spools,polycal,Tucker + PolyCal(P=4),0.014862103387713432,15.388587388857305,-20.221323141529076,0.24558439996326342
15,thread_spools,mlpcal,Tucker + MLPCal(H=16),0.014922667294740677,15.703658372444224,-20.186600210460853,3.0821524999919347
15,thread_spools,ntdpl,NTD-PL,0.013324392028152943,11.106870047369885,-21.179787475754654,1204.0243786999927
