dataset_key,dataset,shape,rank,p_max,n_iter_max,lr_core,lr_factors,lambda_beta,tucker_time_sec,ntdpl_time_sec,tucker_rmse,tucker_nmse_db,tucker_psnr,tucker_ssim,tucker_sam,ntdpl_rmse,ntdpl_nmse_db,ntdpl_psnr,ntdpl_ssim,ntdpl_sam,gain_rmse_pct,delta_nmse_db,delta_psnr,delta_ssim,delta_sam
cifar,CIFAR-10,1000x32x32x3,"(8,8,8,2)",3,160,0.0001,0.0003,1e-06,2.595332199940458,30.70268940005917,0.154103085398674,-10.817745805458188,16.243772807563907,0.7699175117197538,6.910247490491008,0.1527017951011657,-10.897089595173096,16.323116614504244,0.7750242513858422,6.500037672717267,0.9093200787531392,0.0793437897149083,0.0793438069403364,0.0051067396660884,0.4102098177737412
cifar,CIFAR-10,1000x32x32x3,"(8,8,8,2)",4,180,7e-05,0.0002,1e-06,2.595332199940458,35.558079500100575,0.154103085398674,-10.817745805458188,16.243772807563907,0.7699175117197538,6.910247490491008,0.1526082754135131,-10.902411270412555,16.328437927547977,0.7753538178288175,6.500531244860956,0.9700065260170904,0.0846654649543694,0.08466511998407,0.0054363061090637,0.4097162456300518
cifar,CIFAR-10,1000x32x32x3,"(8,8,8,2)",3,220,7e-05,0.0002,1e-07,2.595332199940458,39.26170479995199,0.154103085398674,-10.817745805458188,16.243772807563907,0.7699175117197538,6.910247490491008,0.152702659368515,-10.897041061764703,16.323068931248134,0.7750247171265071,6.5024134126200375,0.9087592416050656,0.0792952563065174,0.0792961236842266,0.0051072054067533,0.4078340778709703
cifar,CIFAR-10,1000x32x32x3,"(12,8,8,2)",2,160,0.0001,0.0003,1e-06,2.6230624000309035,27.43781399994623,0.1418278366327285,-11.538743001678764,16.964769897742897,0.8117418694242664,7.022466158412511,0.1414156407117843,-11.564023738343616,16.990050825704664,0.812967719498971,6.578671885697164,0.2906311840683427,0.0252807366648522,0.0252809279617665,0.0012258500747045,0.4437942727153467
cifar,CIFAR-10,1000x32x32x3,"(12,8,8,2)",3,160,0.0001,0.0003,1e-06,2.6230624000309035,29.21787900000345,0.1418278366327285,-11.538743001678764,16.964769897742897,0.8117418694242664,7.022466158412511,0.1400263607501983,-11.649776570896291,17.075803941647262,0.8173522219991954,6.493834617804319,1.270184982934795,0.111033569217529,0.1110340439043646,0.005610352574929,0.5286315406081918
cifar,CIFAR-10,1000x32x32x3,"(12,8,8,2)",4,180,7e-05,0.0002,1e-06,2.6230624000309035,35.3142406999832,0.1418278366327285,-11.538743001678764,16.964769897742897,0.8117418694242664,7.022466158412511,0.1399832367897033,-11.65245182369272,17.078478743353916,0.8174903413977928,6.485876399387358,1.3005908338021863,0.1137088220139563,0.1137088456110184,0.0057484719735263,0.5365897590251532
cifar,CIFAR-10,1000x32x32x3,"(12,8,8,2)",3,220,7e-05,0.0002,1e-07,2.6230624000309035,38.84910160000436,0.1418278366327285,-11.538743001678764,16.964769897742897,0.8117418694242664,7.022466158412511,0.1400283873081207,-11.649650728369483,17.07567811773775,0.8173508078845568,6.496674948486448,1.2687560970612757,0.110907726690721,0.110908219994851,0.0056089384602904,0.5257912099260631
cifar,CIFAR-10,1000x32x32x3,"(16,8,8,2)",2,160,0.0001,0.0003,1e-06,2.709719700040296,27.94978519994765,0.1336262077093124,-12.056140214080717,17.48216732909135,0.836346330837458,7.072618718184206,0.1333077549934387,-12.07686452239069,17.502891590368318,0.8372375881913979,6.812378607812775,0.2383160618959369,0.0207243083099726,0.0207242612769675,0.0008912573539399,0.2602401103714307
cifar,CIFAR-10,1000x32x32x3,"(16,8,8,2)",3,160,0.0001,0.0003,1e-06,2.709719700040296,29.94314149999991,0.1336262077093124,-12.056140214080717,17.48216732909135,0.836346330837458,7.072618718184206,0.1315627694129943,-12.1913127084311,17.617339962856466,0.8421381773728981,6.457898832550824,1.5441868265892968,0.1351724943503818,0.1351726337651158,0.00579184653544,0.6147198856333818
cifar,CIFAR-10,1000x32x32x3,"(16,8,8,2)",4,180,7e-05,0.0002,1e-06,2.709719700040296,35.48026049998589,0.1336262077093124,-12.056140214080717,17.48216732909135,0.836346330837458,7.072618718184206,0.1315102279186248,-12.194782346107012,17.62080958458257,0.8422926476196627,6.448151771005685,1.5835065792562322,0.1386421320262947,0.1386422554912201,0.0059463167822046,0.6244669471785205
cifar,CIFAR-10,1000x32x32x3,"(16,8,8,2)",3,220,7e-05,0.0002,1e-07,2.709719700040296,39.713394900085405,0.1336262077093124,-12.056140214080717,17.48216732909135,0.836346330837458,7.072618718184206,0.1315655708312988,-12.191128085477608,17.61715527691573,0.8421365780843797,6.460817817597218,1.5420903678537938,0.1349878713968912,0.1349879478243814,0.0057902472469216,0.6118009005869878
cifar,CIFAR-10,1000x32x32x3,"(16,12,12,2)",2,160,0.0001,0.0003,1e-06,2.920043300022371,30.05189889995381,0.1333056837320327,-12.07699945849723,17.503026672266895,0.8372579721918434,7.08312936795551,0.1329763829708099,-12.098482624205882,17.524509636819825,0.8381832289690655,6.80193350752626,0.2470267973605613,0.021483165708652,0.0214829645529306,0.0009252567772221,0.2811958604292499
cifar,CIFAR-10,1000x32x32x3,"(16,12,12,2)",3,160,0.0001,0.0003,1e-06,2.920043300022371,32.00353689992335,0.1333056837320327,-12.07699945849723,17.503026672266895,0.8372579721918434,7.08312936795551,0.1312194168567657,-12.214011089203357,17.64003834639801,0.8430906159685606,6.458143009655819,1.56502469876737,0.1370116307061266,0.1370116741311164,0.0058326437767172,0.6249863582996911
cifar,CIFAR-10,1000x32x32x3,"(16,12,12,2)",4,180,7e-05,0.0002,1e-06,2.920043300022371,38.1849240999436,0.1333056837320327,-12.07699945849723,17.503026672266895,0.8372579721918434,7.08312936795551,0.1311611831188202,-12.217866644021262,17.64389377451637,0.8432593263004234,6.448210710861734,1.6087090611405577,0.1408671855240317,0.1408671022494765,0.00600135410858,0.6349186570937757
cifar,CIFAR-10,1000x32x32x3,"(16,12,12,2)",3,220,7e-05,0.0002,1e-07,2.920043300022371,42.89276199997403,0.1333056837320327,-12.07699945849723,17.503026672266895,0.8372579721918434,7.08312936795551,0.1312212347984314,-12.213890952864285,17.63991804527334,0.843088873643744,6.461098552298104,1.5636609597168252,0.1368914943670525,0.1368913730064456,0.0058309014519005,0.6220308156574061
cifar,CIFAR-10,1000x32x32x3,"(24,12,12,2)",2,160,0.0001,0.0003,1e-06,2.882958000060171,30.977002100087702,0.121466226875782,-12.884862229406307,18.310889568272277,0.8685285536092351,6.608097564078186,0.1211297437548637,-12.908956923749948,18.334984192691948,0.8693372617224,6.312243115750532,0.2770178423854228,0.0240946943436384,0.0240946244196749,0.0008087081131649,0.2958544483276535
